Id,Statement,Short,Inverted,AUTH,CONS,TRAD
1,"Сильное, жесткое правительство навредит нашей стране, а не поможет ей.",1,1,1,0,0
2,"Доброта по отношению к бездельникам или преступникам только побуждает их воспользоваться вашей слабостью, поэтому лучше всего применять к ним твердую, жесткую руку.",1,0,1,0,0
3,"Нашему обществу НЕ нужны более жесткое правительство и более строгие законы.",1,1,1,0,0
4,"Факты о преступности и недавних беспорядках показывают, что нам необходимо жёстче наказывать нарушителей, если мы хотим сохранить закон и порядок.",1,0,1,0,0
5,"Наши тюрьмы — это постыдное зрелище. Преступники — это несчастные люди, которые заслуживают гораздо лучшего ухода, а не сколь суровых наказаний.",1,1,1,0,0
6,"Судя по тому, как обстоят дела в этой стране, потребуется много жестких мер, чтобы исправить нарушителей порядка, преступников и извращенцев.",1,0,1,0,0
7,"Мы должны искоренить все негативные элементы, создающие проблемы в нашем обществе.",0,0,1,0,0
8,"Ситуация в нашей стране становится настолько серьезной, что самые жесткие методы были бы оправданы, если бы они устранили нарушителей порядка и вернули нас на путь истинный.",0,0,1,0,0
9,"Люди, которые говорят, что наши законы должны применяться более строго и жестко, ошибаются. Нам нужна большая терпимость и более мягкое отношение к нарушителям закона.",0,1,1,0,0
10,"Суды правы, когда относятся к наркопреступникам снисходительно. Наказание в таких случаях не принесет никакой пользы.",0,1,1,0,0
11,"Нашей стране действительно нужны жесткие и суровые меры по обеспечению правопорядка.",0,0,1,0,0
12,"Смертная казнь — это варварство, которое никогда не может быть оправдано.",0,1,1,0,0
13,"Здорово, что сегодня многие молодые люди готовы бросить вызов авторитетам.",1,1,0,1,0
14,"Больше всего нашей стране нужна дисциплина, чтобы все единодушно следовали за нашими лидерами.",1,0,0,1,0
15,"Следует поощрять учащихся старших классов и студентов университетов в их стремлении подвергать сомнению и критике установленные формы власти.",1,1,0,1,0
16,"Послушание и уважение к авторитету — самые важные добродетели, которым должны учиться дети.",1,0,0,1,0
17,"Наша страна будет великой, если мы будем уважать власть и подчиняться нашим лидерам.",1,0,0,1,0
18,"Люди должны быть готовы протестовать и оспаривать законы, с которыми они не согласны.",1,1,0,1,0
19,"Людям должно быть позволено выступать с речами и писать книги, призывающие к свержению правительства.",0,1,0,1,0
20,"Чем больше людей готовы критиковать власти, оспаривать и протестовать против правительства, тем лучше для общества.",0,1,0,1,0
21,"Люди должны перестать учить детей подчиняться власти.",0,1,0,1,0
22,"Настоящие ключи к «хорошей жизни» — это уважение к авторитету и послушание тем, кто находится у власти.",0,0,0,1,0
23,"Власти следует подчиняться, потому что они лучше всех знают, что хорошо для нашей страны.",0,0,0,1,0
24,"Нашим лидерам следует подчиняться без вопросов.",0,0,0,1,0
25,"Никому не следует строго придерживаться установленного порядка. Людям стоит быть свободными и пробовать множество разных идей и опытов.",1,1,0,0,1
26,"""Традиционные методы"" и ""традиционные ценности"" по-прежнему показывают лучший способ как прожить жизнь.",1,0,0,0,1
27,"Законы Бога об абортах, порнографии и браке должны строго соблюдаться, пока не стало слишком поздно.",1,0,0,0,1
28,"В нудистских лагерях нет абсолютно ничего плохого.",1,1,0,0,1
29,"Эта страна будет процветать, если молодые люди перестанут экспериментировать с наркотиками, алкоголем и сексом и будут уделять больше внимания семейным ценностям.",1,0,0,0,1
30,"В сексе до брака нет ничего плохого.",1,1,0,0,1
31,"Традиционные ценности, обычаи и мораль имеют много недостатков.",0,1,0,0,1
32,"Каждый должен иметь свой собственный образ жизни, религиозные убеждения и сексуальные предпочтения, даже если это делает его отличным от всех остальных.",0,1,0,0,1
33,"Радикальные и греховные новые способы жизни и поведения многих молодых людей могут однажды разрушить наше общество.",0,0,0,0,1
34,"Непристойные журналы и радикальная литература в наших общинах отравляют умы нашей молодежи.",0,0,0,0,1
35,"Важно, чтобы мы сохраняли наши традиционные ценности и моральные нормы.",0,0,0,0,1
36,"Люди должны уделять меньше внимания Библии и другим старомодным формам религиозных наставлений, а вместо этого развивать свои собственные личные представления о добре и зле.",0,1,0,0,1
