Id,Statement,Inverted
1,"Safety and security for people in our society and communities is NOT an important issue for me.",1
2,"It's important to try and reduce the chaos and disorder in many of our communities.",0
3,"We need more order, stability, and security in our society.",0
4,"Our society and communities do NOT need to be made less dangerous and risky for people.",1
5,"Our society needs to be made safer for ordinary people.",0
6,"We need more control over what is happening in our society.",0
7,"Order, stability, and security in my country are NOT important issues for me.",1
8,"Making our society safer and less dangerous is not particularly important to me.",1
9,"It's just not true that there is a need to reduce chaos and disorder in many of our communities.",1
10,"We need to try and prevent our society from sliding into anarchy and disorder.",0
11,"We need more order, stability, and predictability in our society and our communities.",0
12,"There is NO need for our society to become more orderly, lawful and stable.",1
