Id,Statement
1,"Ein Mensch, der in erster Linie an sein eigenes Glück denkt, ist verachtenswert."
2,"Das Wichtigste im Leben ist, dass ein Mensch etwas Bedeutendes tun möchte."
3,"In einer Diskussion finde ich es oft notwendig, mich mehrmals zu wiederholen, um sicherzustellen, dass ich verstanden werde."
4,"Die meisten Menschen wissen einfach nicht, was gut für sie ist."
5,"In Zeiten wie diesen muss man ziemlich egoistisch sein, wenn man in erster Linie an sein eigenes Glück denkt."
6,"Ein Mensch, der nicht an eine große Sache glaubt, hat nicht wirklich gelebt."
7,"Ich würde mich freuen, wenn ich jemanden finden würde, der mir sagt, wie ich meine persönlichen Probleme lösen kann."
8,"Von all den verschiedenen Philosophien, die es auf dieser Welt gegeben hat, gibt es wahrscheinlich nur eine, die richtig ist."
9,"Wenn sich ein Mensch einem Ideal oder einer Sache verschreibt, wird sein Leben sinnvoll."
10,"In unserer komplizierten Welt können wir nur dann wissen, was vor sich geht, wenn wir uns auf vertrauenswürdige Führer oder Experten verlassen."
11,"Es gibt eine Reihe von Menschen, die ich wegen ihrer Überzeugungen zu hassen gelernt habe."
12,"Es gibt so viel zu tun und so wenig Zeit, um es zu tun."
13,"Es ist besser, ein toter Held zu sein als ein lebender Feigling."
14,"Eine Gruppe, die zu viele Meinungsverschiedenheiten unter ihren Mitgliedern toleriert, kann nicht lange bestehen."
15,"Es ist nur natürlich, dass ein Mensch mit Ideen, an die er glaubt, viel besser vertraut ist als mit Ideen, die er ablehnt."
16,"Auch wenn ich es mir selbst nicht gerne eingestehe, habe ich manchmal den Ehrgeiz, ein großer Mann zu werden, wie Einstein, Beethoven oder Shakespeare."
17,"Auch wenn die Meinungsfreiheit für alle Gruppen ein erstrebenswertes Ziel ist, ist es leider manchmal notwendig, die Freiheit bestimmter politischer Gruppen einzuschränken."
18,"Wenn ein Mensch seine Lebensaufgabe erfüllen will, muss er manchmal ""alles oder nichts“ riskieren""."
19,"Die meisten Menschen ""interessieren sich einfach nicht"" für andere."
20,"Jemand, der sich für viele Dinge begeistert, ist wahrscheinlich ein ziemlich ""wankelmütiger"" Mensch."
21,"Kompromisse mit unseren politischen Gegnern sind gefährlich, weil sie in der Regel zum Verrat an der eigenen Seite führen."
22,"Wenn ich die Chance hätte, würde ich gerne etwas tun, das der Welt einen großen Nutzen bringt."
23,"In Zeiten wie diesen ist es oft notwendig, gegenüber Ideen, die von bestimmten Personen oder Gruppen aus dem eigenen Lager vertreten werden, wachsamer zu sein als gegenüber denen aus dem gegnerischen Lager."
24,"In einer hitzigen Diskussion bin ich in der Regel so sehr mit dem beschäftigt, was ich sagen werde, dass ich vergesse, den anderen zuzuhören."
25,"Wenn ich einmal in eine hitzige Diskussion verwickelt bin, kann ich einfach nicht mehr aufhören."
26,"Es gibt zwei Arten von Menschen auf dieser Welt: diejenigen, die auf der Seite der Wahrheit stehen, und diejenigen, die gegen sie sind."
27,"Der Mensch ist für sich genommen ein hilfloses und elendes Wesen."
28,"Die Vereinigten Staaten und Russland haben so gut wie nichts gemeinsam."
29,"In der Geschichte der Menschheit gab es wahrscheinlich nur eine Handvoll wirklich großer Denker."
30,"Die höchste Form der Regierung ist die Demokratie, und die höchste Form der Demokratie ist eine Regierung, die von den intelligentesten Menschen geführt wird."
31,"Die Gegenwart ist allzu oft voller Unglück. Was zählt, ist die Zukunft."
32,"Leider verstehen viele Menschen, mit denen ich über wichtige soziale und moralische Probleme gesprochen habe, nicht wirklich, was vor sich geht."
33,"Im Grunde genommen ist die Welt, in der wir leben, ein ziemlich einsamer Ort."
34,"Oft ist es ratsam, sich ein Urteil über das Geschehen vorzubehalten, bis man die Meinung derjenigen gehört hat, die man respektiert."
35,"Das schlimmste Verbrechen, das ein Mensch begehen kann, ist, Menschen öffentlich anzugreifen, die an dasselbe glauben wie er selbst."
36,"Auf lange Sicht ist es am besten, sich Freunde und Bekannte auszusuchen, deren Geschmack und Überzeugungen den eigenen entsprechen."
37,"Die meisten Ideen, die heutzutage veröffentlicht werden, sind das Papier nicht wert, auf dem sie gedruckt sind."
38,"Es ist nur natürlich, dass ein Mensch eher Angst vor der Zukunft hat."
39,"Mein Blut kocht, wenn jemand sich hartnäckig weigert, zuzugeben, dass er Unrecht hat."
40,"Wenn es um Meinungsverschiedenheiten in religiösen Fragen geht, müssen wir darauf achten, keine Kompromisse mit denen einzugehen, die anders glauben als wir."
