Id,Statement
1,"Auch wenn es den Anschein haben mag, dass die Welt immer gefährlicher und chaotischer wird, ist dies in Wirklichkeit nicht der Fall. Jede Epoche hat ihre Probleme, und die Chancen eines Menschen, ein sicheres, unbeschwertes Leben zu führen, sind heute besser denn je zuvor."
2,"Jeden Tag könnte um uns herum Chaos und Anarchie ausbrechen. Alle Anzeichen deuten darauf hin."
3,"Es gibt viele gefährliche Menschen in unserer Gesellschaft, die jemanden aus purer Boshaftigkeit und ohne Grund angreifen würden."
4,"Trotz allem, was man über ""Straßenkriminalität"" hört, gibt es heute wahrscheinlich nicht mehr davon als früher.“"
5,"Wenn man ein paar vernünftige Vorsichtsmaßnahmen trifft, wird einem wahrscheinlich nichts Schlimmes passieren; wir leben nicht in einer gefährlichen Welt."
6,"Mit jedem Tag, an dem die Gesellschaft gesetzloser und brutaler wird, steigt die Wahrscheinlichkeit, dass man ausgeraubt, angegriffen oder sogar ermordet wird."
7,"Mein Wissen und meine Erfahrungen sagen mir, dass die soziale Welt, in der wir leben, im Grunde ein sicherer, stabiler und geschützter Ort ist, an dem die meisten Menschen grundsätzlich gut sind."
8,"Es scheint, dass es jedes Jahr immer weniger wirklich respektable Menschen gibt und immer mehr Menschen ohne jegliche Moral, die alle anderen bedrohen."
9,"Das ""Ende"" ist nicht nahe. Menschen, die glauben, dass Erdbeben, Kriege und Hungersnöte bedeuten, dass Gott die Welt zerstören könnte, sind töricht."
10,"Mein Wissen und meine Erfahrung sagen mir, dass die soziale Welt, in der wir leben, im Grunde genommen ein gefährlicher und unvorhersehbarer Ort ist, an dem die Werte und die Lebensweise guter, anständiger und moralischer Menschen durch schlechte Menschen bedroht und gestört werden."
