Id,Statement,Inverted,HARM,COOP,PROG,REG,STAB,JUST,PL
1,总的来说，世界是一个安全的地方。,0,1,0,0,0,0,0,0
2,真正的危险无处不在，即使我们没有注意到。,1,1,0,0,0,0,0,0
3,大多数事情和情况都是无害和完全安全的。,0,1,0,0,0,0,0,0
4,我倾向于认为这个世界很安全。,0,1,0,0,0,0,0,0
5,总的来说，世界是一个危险的地方。,1,1,0,0,0,0,0,0
6,与其说生活是合作的，不如说是残酷的竞争，为了生存，你必须不择手段。,1,0,1,0,0,0,0,0
7,对于所有生命来说，从最小的生物到植物、动物，再到人类，一切都是残酷的竞争。,1,0,1,0,0,0,0,0
8,世界不是一个合作的世界，而是一个残酷竞争的世界。,1,0,1,0,0,0,0,0
9,世界的运转靠的是信任与合作，而不是猜疑与竞争。,0,0,1,0,0,0,0,0
10,总的来说，世界正在变得更糟。,1,0,0,1,0,0,0,0
11,感觉世界正在走下坡路。,1,0,0,1,0,0,0,0
12,虽然这个世界存在问题，但总的来说，情况肯定在改善。,0,0,0,1,0,0,0,0
13,感觉世界越来越美好。,0,0,0,1,0,0,0,0
14,虽然有时情况会变得更糟，但通常都会变得更好。,0,0,0,0,1,0,0,0
15,大多数事情都有变得更糟的习惯。,1,0,0,0,1,0,0,0
16,大多数事情和情况的通常趋势是变得更好，而不是更糟。,0,0,0,0,1,0,0,0
17,随着时间的推移，大多数情况自然会变得更糟，而不是更好。,1,0,0,0,1,0,0,0
18,这个世界上的东西都很脆弱，很容易被毁坏。,1,0,0,0,0,1,0,0
19,要让事情分崩离析，需要付出很多代价。,0,0,0,0,0,1,0,0
20,大多数事物和情况都很脆弱，很容易被破坏。,1,0,0,0,0,1,0,0
21,大多数情况都很微妙。虽然他们现在可能很好，但事情很容易就会搞砸。,1,0,0,0,0,1,0,0
22,在这个世界上，努力工作和友善待人都会得到回报。,0,0,0,0,0,0,1,0
23,如果一个人慷慨仁慈，世界也会回报他仁慈。,0,0,0,0,0,0,1,0
24,在这个世界上，我们很少能得到应有的回报。,1,0,0,0,0,0,1,0
25,生活中的痛苦多于快乐。,1,0,0,0,0,0,0,1
26,总的来说，世界是个好地方。,0,0,0,0,0,0,0,1
27,人世间的生活通常都是痛苦和磨难。,1,0,0,0,0,0,0,1
28,生活中的快乐远远多于痛苦。,0,0,0,0,0,0,0,1
29,世界上大多数事物都是美好的。,0,0,0,0,0,0,0,1
