Id,Statement,Inverted,SUB,CONV,AGR
1,"We should believe what our leaders tell us.",0,1,0,0
2,"Our leaders know what is best for us.",0,1,0,0
3,"People should be critical of statements made by those in positions of authority.",1,1,0,0
4,"People in positions of authority generally tell the truth.",0,1,0,0
5,"People should be skeptical of all statements made by those in positions of authority.",1,1,0,0
6,"Questioning the motives of those in power is healthy for society.",1,1,0,0
7,"People emphasize tradition too much.",1,0,1,0
8,"Traditions are the foundation of a healthy society and should be respected.",0,0,1,0
9,"It would be better for society if more people followed social norms.",0,0,1,0
10,"Traditions interfere with progress.",1,0,1,0
11,"People should challenge social traditions in order to advance society.",1,0,1,0
12,"People should respect social norms.",0,0,1,0
13,"Strong force is necessary against threatening groups.",0,0,0,1
14,"It is necessary to use force against people who are a threat to authority.",0,0,0,1
15,"Police should avoid using violence against suspects.",1,0,0,1
16,"People should avoid using violence against others even when ordered to do so by the proper authorities.",1,0,0,1
17,"Using force against people is wrong even if done so by those in authority.",1,0,0,1
18,"Strong punishments are necessary in order to send a message.",0,0,0,1
