Id,Statement,Inverted,SDO-D,SDO-E
1,"Manche Gruppen von Menschen müssen an ihrem Platz gehalten werden.",0,1,0
2,"Es ist wahrscheinlich gut, dass bestimmte Gruppen oben stehen und andere unten.",0,1,0
3,"Eine ideale Gesellschaft erfordert, dass einige Gruppen oben stehen und andere Gruppen unten.",0,1,0
4,"Manche Gruppen von Menschen sind anderen Gruppen einfach unterlegen.",0,1,0
5,"Gruppen, die unten sind, sollte genauso viel zustehen wie Gruppen, die oben sind.",1,1,0
6,"Keine Gruppe sollte in der Gesellschaft dominieren.",1,1,0
7,"Gruppen, die unten stehen, sollten nicht gezwungen werden, an ihrem Platz bleiben.",1,1,0
8,"Die Dominanz einer bestimmten Gruppe ist ein schlechtes Prinzip.",1,1,0
9,"Wir sollten nicht auf Gruppengleichheit drängen.",0,0,1
10,"Wir sollten nicht versuchen zu garantieren, dass jede Gruppe die gleiche Lebensqualität hat..",0,0,1
11,"Es ist ungerecht zu versuchen, Gruppen gleich zu machen.",0,0,1
12,"Gruppengleichheit sollte nicht unser oberstes Ziel sein.",0,0,1
13,"Wir sollten daran arbeiten, allen Gruppen die gleiche Chance zu geben, erfolgreich zu sein.",1,0,1
14,"Wir sollten tun, was wir können, um die Bedingungen für verschiedene Gruppen auszugleichen.",1,0,1
15,"Egal wie viel Aufwand es erfordert, sollten wir uns darum bemühen, dass alle Gruppen die gleichen Chancen im Leben haben.",1,0,1
16,"Gruppengleichheit sollte unser Ideal sein.",1,0,1
