Id,Statement
1,"Хотя может показаться, что ситуация становится все более опасной и хаотичной, на самом деле это не так. В каждой эпохе есть свои проблемы, и сегодня у человека больше шансов жить безопасной, спокойной жизнью, чем когда-либо прежде."
2,"В любой момент вокруг нас может разразиться хаос и анархия. Все признаки указывают на это."
3,"В нашем обществе много опасных людей, которые могут напасть на кого-то из чистой злобы, без всякой причины."
4,"Несмотря на то, что слышишь о ""преступности на улицах"", сейчас ее, вероятно, не больше, чем когда-либо."
5,"Если человек принимает несколько разумных мер предосторожности, с ним вряд ли произойдет что-то плохое- мы не живем в опасном мире."
6,"С каждым днем, по мере того как общество становится все более беззаконным и жестоким, вероятность того, что человек будет ограблен, избит и даже убит, растет."
7,"Мои знания и опыт подсказывают мне, что социальный мир, в котором мы живем, в основном является безопасным, стабильным и надежным местом, в котором большинство людей, в целом, добрые."
8,"Кажется, что с каждым годом становится все меньше и меньше по-настоящему уважаемых людей и все больше и больше людей, лишенных морали, которые угрожают всем остальным."
9,"""Конец"" не близок. Люди, которые думают, что землетрясения, войны и голод означают, что Бог, возможно, собирается уничтожить мир, ведут себя глупо."
10,"Мои знания и опыт подсказывают мне, что социальный мир, в котором мы живем, по сути своей является опасным и непредсказуемым местом, в котором ценности и образ жизни хороших, порядочных и нравственных людей подвергаются угрозе и нарушаются плохими людьми."
