Id,Statement
1,"It's a dog-eat-dog world where you have to be ruthless at times."
2,"There is really no such thing as ""right"" and ""wrong."" It all boils down to what you can get away with."
3,"One of the most useful skills a person should develop is how to look someone straight in the eye and lie convincingly."
4,"My knowledge and experience tells me that the social world we live in is basically a competitive ""jungle"" in which the fittest survive and succeed, in which power, wealth, and winning are everything, and might is right."
5,"Basically people are objects to be quietly and coolly manipulated for one's own benefit."
6,"Life is not governed by the ""survival of the fittest."" We should let compassion and moral laws be our guide."
7,"It is better to he loved than to be feared."
8,"Do unto to others as you would have them do unto you, and never do anything unfair to someone else."
9,"Honesty is the best policy in all cases."
10,"One should give others the benefit of the doubt. Most people are trustworthy if you have faith in them."
