Id,Statement,Polarity,Rephrased
1,"Наши немецкие добродетели помогли нам многого достичь, и некоторых людей следовало бы заставить провлять к ним больше уважения.",0,
2,"Свобода слова означает, что у вас есть право произносить речи и писать книги, в которых вы сами можете призывать к свержению правительства.",0,
3,"В нашей стране все было бы хорошо, если бы мы придерживались старых традиций, делали то, что велят нам лидеры, и избавились от подстрекателей, которые все портят.",+,L
4,"Здорово, что сегодня молодые люди могут протестовать против того, что их не устраивает, и что они могут вести себя так, как им нравится.",-,
5,"Всегда лучше доверять суждениям ответственных лиц в правительстве и церкви, чем прислушиваться к громким возмутителям спокойствия в нашем обществе, которые только и хотят, что посеять сомнения среди людей.",+,
6,"Люди должны уделять меньше внимания Библии и другим традиционным религиозным учениям, а вместо этого вырабатывать свои собственные ценности в отношении таких понятий, как добро и зло.",-,
7,"Что нам действительно нужно в нашей стране, так это приличная доза закона и порядка, а не больше гражданских прав.",-,L
8,"Если мы не искореним коррупцию, которая подтачивает наши нравственные корни и традиционные идеалы, то однажды она уничтожит нашу страну.",+,L
9,"Чем скорее мы откажемся от традиционной структуры семьи, в которой отец является главой семьи, а дети автоматически воспитываются в послушании, тем лучше. Потому что в этой старомодной модели многое не так.",-,
10,"Добрачный секс - это вполне нормальное явление.",-,
11,"Нынешние беспорядки, рост преступности и сексуальной безнравственности делают необходимым пресечение деятельности маргинальных групп и нарушителей порядка, если мы хотим сохранить наши моральные принципы и поддерживать закон и порядок.",+,
12,"Гомосексуальность не является ни аморальной, ни патологической.",-,
13,"Права радикалов и извращенцев должны полностью соблюдаться.",-,
14,"Послушание - самая важная добродетель, которой должны научиться дети.",+,
15,"Не существует единственно верного способа прожить свою жизнь. Каждый должен найти свой собственный путь, который подходит именно ему или ей.",-,L
16,"После того как ответственные правительства признали наличие опасных элементов в нашем обществе, долг каждого патриотически настроенного гражданина - противостоять отравлению нашего общества изнутри.",-,
17,"Правительство, судьи и полиция не должны иметь права цензурировать книги.",-,
18,"Одни из худших людей в нашей стране сегодня - это те, кто не уважает символы нашей страны или наши общие правила поведения.",+,
19,"В наше время законы должны применяться безжалостно, особенно когда речь идет о бунтовщиках и революционерах, которые только и делают, что устраивают беспорядки.",+,
20,"Атеисты и другие люди, восставшие против устоявшихся религий, так же хороши и праведны, как и те, кто регулярно посещает церковь.",-,
21,"У молодых людей иногда возникают бунтарские идеи. Однако с возрастом они должны становиться более зрелыми и воздерживаться от подобных вещей.",+,
22,"На самом деле нет ничего плохого во многих вещах, которые некоторые люди называют грехом.",-,L
23,"Каждый человек должен следовать своему образу жизни, религиозным убеждениям и сексуальной ориентации, даже если это делает его не таким, как все.",-,
24,"Если ребенок начинает вести себя нестандартно и не хочет слушаться взрослых, то долг родителей - вернуть его на правильный путь.",0,
25,"Обычно оказывается, что авторитеты вроде наших родителей или национальных лидеров правы, а радикалы и протестующие почти всегда ошибаются.",+,
26,"Многие наши правила, связанные с ханжеством и сексуальным поведением, - это просто обычаи, и они не обязательно лучше, чем у других людей.",-,
27,"Нудистские пляжи - вполне нормальное явление.",-,
28,"Истинные основы хорошей жизни - это послушание, дисциплина и прямота.",+,
29,"Мы должны относиться к тем, кто думает иначе, с открытым сердцем, ведь новые идеи ведут к прогрессивным изменениям.",-,
30,"Нашей стране нужно сильное и решительное руководство, которое уничтожит все плохое и вернет нас на правильный путь.",+,L
31,"Молодые люди должны научиться критически относиться к идеалам своих родителей, подвергать сомнению авторитеты и критиковать традиции нашего общества.",+,
32,"Одна из причин, по которой в нашем обществе сегодня так много сложных элементов, заключается в том, что родители и другие представители власти забыли, что старые добрые телесные наказания по-прежнему являются одним из лучших способов заставить людей вести себя правильно.",+,
33,"Поскольку ситуация в нашей стране становится все более серьезной, использование самых сильных средств также будет оправданным, чтобы избавиться от деструктивных элементов и вернуть нас на путь истинный.",+,
34,"Мы должны избавиться от правил так называемого хорошего поведения, потому что это оковы прошлого, которые мы можем обменять на большую свободу и новый образ жизни.",0,
