Id,Statement
1,"In certain circumstances, a dictatorship is the better form of government in the national interest."
2,"Without the extermination of the Jews, Hitler would be regarded today as a great statesman."
3,"What Germany needs now is a single strong party that embodies the entire national community."
4,"We should have a leader who rules Germany with a strong hand for the benefit of all."
5,"As in nature, the stronger should always prevail in society."
6,"Foreigners only come here to take advantage of our welfare state."
7,"Even today, the influence of the Jews is too great."
8,"We should finally have the courage to embrace a strong sense of national identity again."
9,"Actually, Germans are naturally superior to other peoples."
10,"When jobs become scarce, foreigners should be sent back to their home countries."
11,"The crimes of National Socialism have been greatly exaggerated in historiography."
12,"What our country needs is to assert German interests abroad in a tough and energetic manner."
13,"Jews work harder than other people to achieve what they want, using dirty tricks."
14,"The primary goal of German politics should be to give Germany the power and prestige it deserves."
15,"There are valuable and worthless lives."
16,"The Federal Republic is dangerously overrun by foreigners due to the large number of immigrants."
17,"The Jews simply have something special and peculiar about them and don't really fit in with us."
18,"National Socialism also had its good sides."
