Id,Statement,Inverted
1,"Мои знания и опыт подсказывают мне, что социальный мир, в котором мы живем, в основном является безопасным, стабильным и надежным местом, в котором большинство людей в целом являются добрыми.",1
2,"Кажется, что с каждым годом становится все меньше и меньше по-настоящему порядочных людей, и все больше людей, лишенных всякой морали, которые угрожают всем остальным.",0
3,"Хотя может казаться, что всё становится всё более опасным и хаотичным, на самом деле это не так. В каждой эпохе есть свои проблемы, и сегодня у человека больше шансов жить безопасной, беззаботной жизнью, чем когда-либо прежде.",1
4,"В любой момент вокруг нас может разразиться хаос и анархия. Все признаки указывают на это.",0
5,"В нашем обществе много опасных людей, которые способны напасть на кого-то из-за чистой злости, без всякой причины.",0
6,"""Конец"" не близок. Люди, которые думают, что землетрясения, войны и голод означают, что Бог, возможно, собирается уничтожить мир, ведут себя глупо.",1
7,"Мои знания и опыт подсказывают мне, что социальный мир, в котором мы живем, по сути своей является опасным и непредсказуемым местом, в котором ценности и образ жизни хороших, порядочных и нравственных людей подвергаются угрозе и нарушаются плохими людьми.",0
8,"Несмотря на то, что говорят о ""уличной преступности"", сейчас ее, вероятно, не больше, чем когда-либо.",1
9,"Если человек принимает несколько разумных мер предосторожности, с ним вряд ли произойдет что-то плохое; мы живем не в опасном мире.",1
10,"С каждым днем, по мере того как общество становится все более беззаконным и жестоким, вероятность того, что человек станет жертвой ограбления, нападения и даже убийства, растет и растет.",0
