Id,Statement,Inverted,AGR,SUB,CONV
1,"Was unser Land wirklich braucht, statt noch mehr ""Bürgerrechten"", ist eine ordentliche Portion Recht und Ordnung.",0,1,0,0
2,"Was unser Land wirklich braucht, ist ein starker, entschlossener Kanzler, der das Böse vernichtet und uns wieder auf den richtigen Weg bringt.",0,1,0,0
3,"Es gibt kein Verbrechen, das die Todesstrafe rechtfertigen würde.",1,1,0,0
4,"Es ist wichtig, die Rechte von Radikalen und Abweichlern in jeder Hinsicht zu schützen.",1,1,0,0
5,"Gehorsam und Respekt vor Autoritäten sind die wichtigsten Werte, die Kinder lernen sollten.",0,0,1,0
6,"Die wahren Schlüssel zu einem ""guten Leben"" sind Gehorsam, Disziplin und Tugend.",0,0,1,0
7,"Die Zeiten, in denen Frauen unterwürfig waren, sollten endgültig der Vergangenheit angehören. Der ""Platz einer Frau"" in der Gesellschaft sollte dort sein, wo sie selbst ihn haben möchte.",1,0,1,0
8,"Es ist gut, dass junge Menschen heutzutage mehr Freiheit haben, ""ihre eigenen Regeln aufzustellen"" und gegen Dinge zu protestieren, die ihnen nicht gefallen.",1,0,1,0
9,"Der Rückzug aus der Tradition wird sich eines Tages als fataler Fehler erweisen.",0,0,0,1
10,"Tugendhaft und gesetzestreu zu sein, ist auf lange Sicht besser für uns, als ständig die Grundlagen unserer Gesellschaft in Frage zu stellen.",0,0,0,1
11,"Die Menschen sollten ihre eigenen persönlichen Maßstäbe für Gut und Böse entwickeln und weniger auf die Bibel und andere alte, traditionelle Formen religiöser Führung achten.",1,0,0,1
12,"Homosexuelle Langzeitbeziehungen sollten wie Ehen behandelt werden.",1,0,0,1
