Id,Statement,Polarity,EXTRA,COMP,CONS,NEURO,OPEN
1,"Ich bin eher zurückhaltend, reserviert.",-,1,0,0,0,0
2,"Ich schenke anderen leicht Vertrauen, glaube an das Gute im Menschen.",+,0,1,0,0,0
3,"Ich bin bequem, neige zur Faulheit.",-,0,0,1,0,0
4,"Ich bin entspannt, lasse mich durch Stress nicht aus der Ruhe bringen.",-,0,0,0,1,0
5,"Ich habe nur wenig künstlerisches Interesse.",-,0,0,0,0,1
6,"Ich gehe aus mir heraus, bin gesellig.",+,1,0,0,0,0
7,"Ich neige dazu, andere zu kritisieren.",-,0,1,0,0,0
8,"Ich erledige Aufgaben gründlich.",+,0,0,1,0,0
9,"Ich werde leicht nervös und unsicher.",+,0,0,0,1,0
10,"Ich habe eine aktive Vorstellungskraft, bin fantasievoll.",+,0,0,0,0,1
