Id,Statement,Inverted
1,我总是以同样的方式做事。,0
2,我喜欢尝试新事物。,1
3,"如果某人遭遇不测，我往往会想：""他/她活该！""",0
4,我同情那些遭遇不幸的人。,1
5,我喜欢结识新朋友。,1
6,我不喜欢认识新朋友。,0
7,我在新的陌生环境中感到不自在。,0
8,我喜欢新鲜和陌生的环境。,1
9,我倾向于支持强势的一方。,0
10,我经常站在弱者一边。,1
11,我喜欢变化。,1
12,我不喜欢改变。,0
13,我在冲突中退缩，但我寻求报复。,0
14,我倾向于直接解决冲突。,1
15,我欣赏有主见的人。,0
16,我鄙视试图支配他人的人。,1
17,不站在我这边的人都在反对我。,0
18,我可以接受不站在我这边的人。,1
19,我尽量避免与不同的人接触。,0
20,我喜欢与人接触，即使是那些与我不同的人。,1
21,我喜欢一切都井井有条的小组。,0
22,我喜欢需要成员自己组织一切的小组。,1
23,当人们依赖我时，我喜欢让他们感受到这一点。,0
24,当人们依赖我时，我不会让他们感觉到。,1
25,我喜欢加入不认识的人。,1
26,我觉得和不认识的人在一起很不自在。,0
27,我钦佩有能力让步的人。,1
28,我认为屈服的人都是娘娘腔。,0
29,我想过平静的生活。,0
30,我想拥有精彩的人生。,1
31,我喜欢随性的人，即使他们有时难以捉摸。,1
32,我更喜欢那些行为总是可以预测的人。,0
33,我很难服从我并不绝对信服的命令。,1
34,即使我不相信命令的必要性，我也会服从命令。,0
35,我为遇到严重困难的人感到难过。,1
36,我并不为陷入严重困难的人感到难过。,0
37,我总是喜欢学习新东西。,1
38,我对自己的知识感到满意。,0
39,我对那些质疑既定事实的人感到恼火。,0
40,我钦佩那些对既定事物提出质疑的人。,1
41,我服从上级的命令，即使我并不信服。,0
42,我试图绕过那些无法说服我的命令。,1
43,我喜欢面对新的想法。,1
44,我不喜欢面对新想法。,0
45,我不讨论基本问题。,0
46,我想，即使是涉及到根本性的问题，我也可能会学到一些新东西。,1
