Id,Statement,Polarity
1,"Только работа делает человека по-настоящему счастливым.",+
2,"Сегодня большинство молодых людей живут слишком хорошо; пора им снова научиться строгой дисциплине.",+
3,"Войны будут всегда, люди такие.",+
4,"Слишком много разговоров и дискуссий, это ни к чему не приводит.",+
5,"Мы должны поставить точку в нашем прошлом; у других происходили такие же ужасные вещи.",+
6,"Учитывая то, как сегодня устроены наши тюрьмы, наказание становится почти наградой.",+
7,"Американцы может и цивилизованные, но своей культуры у них нет.",+
8,"Большинству людей нельзя доверять.",+
9,"Наши социальные проблемы были бы в значительной степени решены, если бы можно было как-то избавиться от неисправимых преступников.",+
10,"Послушание и уважение к авторитету — важнейшие добродетели, которым должны учиться дети.",+
11,"С людьми, которые плохо себя ведут, просто невозможно ужиться.",+
12,"Торговцы и производители важнее для нашего общества, чем художники и профессора.",+
13,"У молодых людей иногда бывают бунтарские идеи, но с годами они должны вырасти из них.",+
14,"То, в чём нуждается наша страна сегодня, больше, чем в законах и программах, — это смелые политики, которым можно доверять.",+
15,"Сильная воля может преодолеть все трудности и слабости.",+
16,"Невероятно, насколько наша жизнь зависит от грязных махинаций и манипуляций.",+
17,"Достойный человек никогда не подумает о том, чтобы обидеть хорошего друга или родственника.",+
18,"Самые важные вещи в жизни можно узнать только на собственном опыте.",+
19,"Нет ничего более жалкого, чем люди, не испытывающие любви и уважения к своим родителям.",+
20,"Некоторые люди имеют врожденную склонность к самоубийству.",+
21,"Не стоит так сильно зацикливаться на своих заботах и проблемах, лучше потратить время на более приятные вещи.",+
22,"Судя по всему, что сегодня слышишь и видишь, наблюдается пугающее падение сексуальной морали.",+
23,"Не только работа делает человека по-настоящему счастливым.",-
24,"Возможно, сегодня большинство молодых людей живут слишком хорошо; однако ужесточение дисциплины само по себе не приведет к улучшению ситуации.",-
25,"В природе человека не заложено, что всегда будут войны и споры.",-
26,"Нужно всё до конца обдумать и обсудить, иначе в долгосрочной перспективе ничего не достигнуть.",-
27,"Мы должны более пристально взглянуть на наше недавнее прошлое, даже если у других происходили такие же ужасные вещи.",-
28,"Наши тюрьмы должны меньше наказывать и больше лечить и перевоспитывать.",-
29,"Американцы обладают не только высокой цивилизацией, но и культурой.",-
30,"Большинству людей можно доверять.",-
31,"Даже если бы мы каким-то образом избавились от неисправимых преступников, наши социальные проблемы остались бы в значительной степени нерешенными.",-
32,"Послушание и уважение к авторитету — далеко не самые важные вещи, которым должны учиться дети.",-
33,"Плохое поведение, конечно, затрудняет совместную жизнь, но с такими людьми тоже нужно уметь ладить.",-
34,"Художники и профессора так же важны для нашего общества, как и коммерсанты и производители.",-
35,"У молодых людей иногда бывают бунтарские идеи, но, став взрослыми, они всегда приспосабливаются и, к сожалению, больше не воспринимают эти идеи всерьез.",-
36,"Сегодня нам нужны не только лучшие законы и программы, но и смелые политики, которым можно доверять.",-
37,"Независимо от силы нашей воли, мы часто терпим неудачу из-за трудностей и слабостей.",-
38,"Мы можем в значительной степени свободно распоряжаться своей жизнью и практически не подвергаемся влиянию грязных махинаций и манипуляций.",-
39,"Даже порядочный человек часто может думать о чем-то, что может ранить хорошего друга или родственника.",-
40,"Самые важные вещи в жизни не нужно узнавать на собственном опыте.",-
41,"Стоит признать, что ты не всегда испытываешь большую любовь и уважение к своим родителям.",-
42,"Если некоторые люди и склонны к самоубийству, то это, конечно, не врожденная черта.",-
43,"Следует спокойно обдумывать свои заботы и проблемы и не позволять себе отвлекаться на более приятные вещи.",-
44,"Истории, которые мы сегодня слышим о сексуальной жизни, - это всего лишь единичные случаи, раздутые желтой прессой.",-
