Id,Statement,Inverted,HARM,COOP,PROG,REG,STAB,JUST,PL
1,"В целом мир является безопасным местом.",0,1,0,0,0,0,0,0
2,"Реальная опасность присутствует повсюду, даже если мы ее не замечаем.",1,1,0,0,0,0,0,0
3,"Большинство вещей и ситуаций безвредны и абсолютно безопасны.",0,1,0,0,0,0,0,0
4,"Я склонен считать мир довольно безопасным.",0,1,0,0,0,0,0,0
5,"В целом, мир – это опасное место.",1,1,0,0,0,0,0,0
6,"Вместо сотрудничества, жизнь — это жестокое соревнование, в котором приходится делать всё возможное, чтобы выжить.",1,0,1,0,0,0,0,0
7,"Для всех форм жизни- от мельчайших организмов до растений, животных и людей - всё является жестокой конкуренцией.",1,0,1,0,0,0,0,0
8,"Вместо сотрудничества, жизнь — это жестокое соревнование, в котором приходится делать всё возможное, чтобы выжить.",1,0,1,0,0,0,0,0
9,"Мир держится скорее на доверии и сотрудничестве, чем на подозрениях и конкуренции.",0,0,1,0,0,0,0,0
10,"В целом, мир становится хуже.",1,0,0,1,0,0,0,0
11,"Кажется, что мир катится в пропасть.",1,0,0,1,0,0,0,0
12,"Хотя в мире есть проблемы, в целом ситуация определенно улучшается.",0,0,0,1,0,0,0,0
13,"Кажется, что мир становится все лучше и лучше.",0,0,0,1,0,0,0,0
14,"Хотя иногда ситуации ухудшаются, обычно они улучшаются.",0,0,0,0,1,0,0,0
15,"Большинство вещей имеют привычку ухудшаться.",1,0,0,0,1,0,0,0
16,"Обычно большинство вещей и ситуаций имеют тенденцию улучшаться, а не ухудшаться.",0,0,0,0,1,0,0,0
17,"Со временем большинство ситуаций, как правило, ухудшаются, а не улучшаются.",1,0,0,0,1,0,0,0
18,"Мир - это место, где все хрупко и легко разрушается.",1,0,0,0,0,1,0,0
19,"Много чего должно произойти, чтобы всё развалилось.",0,0,0,0,0,1,0,0
20,"Большинство вещей и ситуаций являются хрупкими и легко разрушаемыми.",1,0,0,0,0,1,0,0
21,"Большинство ситуаций являются хрупкими. Сейчас может казаться, что всё нормально, но всё легко может развалиться.",1,0,0,0,0,1,0,0
22,"Мир - это место, где усердный труд и доброта приносят свои плоды.",0,0,0,0,0,0,1,0
23,"Если кто-то щедр и добр, мир ответит ему взаимностью.",0,0,0,0,0,0,1,0
24,"Мир - это место, где мы редко заслуживаем то, что получаем.",1,0,0,0,0,0,1,0
25,"Жизнь приносит больше боли, чем удовольствия.",1,0,0,0,0,0,0,1
26,"В целом, мир - это хорошее место.",0,0,0,0,0,0,0,1
27,"Жизнь в этом мире обычно сопряжена с болью и страданиями.",1,0,0,0,0,0,0,1
28,"Жизнь дарит гораздо больше радости, чем боли.",0,0,0,0,0,0,0,1
29,"Большинство вещей в мире хороши.",0,0,0,0,0,0,0,1
