Id,Statement,Inverted,SUB,CONV,AGR
1,"Wir sollten glauben, was unsere Führer uns sagen.",0,1,0,0
2,"Unsere Führer wissen, was für uns am besten ist.",0,1,0,0
3,"Die Menschen sollten Aussagen von Personen in Machtpositionen kritisch hinterfragen.",1,1,0,0
4,"Menschen in Machtpositionen sagen im Allgemeinen die Wahrheit.",0,1,0,0
5,"Die Menschen sollten allen Aussagen von Menschen in Machtpositionen skeptisch gegenüberstehen.",1,1,0,0
6,"Die Motive der Machthaber zu hinterfragen, ist gesund für die Gesellschaft.",1,1,0,0
7,"Die Menschen legen zu viel Wert auf Traditionen.",1,0,1,0
8,"Traditionen sind das Fundament einer gesunden Gesellschaft und sollten respektiert werden.",0,0,1,0
9,"Es wäre besser für die Gesellschaft, wenn mehr Menschen soziale Normen befolgen würden.",0,0,1,0
10,"Traditionen behindern den Fortschritt.",1,0,1,0
11,"Menschen sollten soziale Traditionen hinterfragen, um die Gesellschaft voranzubringen.",1,0,1,0
12,"Menschen sollten soziale Normen respektieren.",0,0,1,0
13,"Gegen bedrohliche Gruppen ist harte Gewalt notwendig.",0,0,0,1
14,"Gegen Menschen, die eine Bedrohung für die Autorität darstellen, muss Gewalt angewendet werden.",0,0,0,1
15,"Die Polizei sollte Gewalt gegen Verdächtige vermeiden.",1,0,0,1
16,"Menschen sollten Gewalt gegen andere vermeiden, selbst wenn sie von den zuständigen Behörden dazu aufgefordert werden.",1,0,0,1
17,"Gewalt gegen Menschen ist falsch, selbst wenn sie von Autoritätspersonen ausgeübt wird.",1,0,0,1
18,"Strenge Strafen sind notwendig, um ein Zeichen zu setzen.",0,0,0,1
