Id,Statement
1,"Это жестокий мир, в котором иногда приходится быть безжалостным."
2,"На самом деле не существует такого понятия, как ""правильно"" и ""неправильно"". Все сводится к тому, что тебе сойдет с рук."
3,"Один из самых полезных навыков, который должен развить человек, — это умение смотреть прямо в глаза и убедительно лгать."
4,"Мои знания и опыт подсказывают мне, что социальный мир, в котором мы живем, — это, по сути, конкурентная ""джунгли"", в которых выживают и преуспевают самые сильные, в которых власть, богатство и победа — это все, а сила — это право."
5,"По сути, люди — это объекты, которыми можно тихо и хладнокровно манипулировать в своих интересах."
6,"Жизнь не подчиняется закону «выживает сильнейший». Мы должны руководствоваться состраданием и моральными законами."
7,"Лучше быть любимым, чем бояться."
8,"Поступай с другими так, как ты хочешь, чтобы поступали с тобой, и никогда не делай ничего несправедливого по отношению к другим."
9,"Честность — лучшая политика во всех случаях."
10,"Следует давать другим право на ошибку. Большинство людей заслуживают доверия, если ты веришь в них."
