Id,Statement,Polarity
1,"Пока нашим учителям запрещено физически наказывать учеников, наши школы будут деградировать.",+
2,"Если человечество продолжит идти по своему порочному пути, Бог, вероятно, будет вынужден уничтожить его.",+
3,"В целом, если ребенка заставляют подчиняться представлениям его родителей, это приносит ему пользу в дальнейшей жизни.",+
4,"Сегодня люди в целом более жестоки и безнравственны, чем раньше.",+
5,"Современные уровни преступности и сексуальной безнравственности делают неизбежным более жесткое обращение с некоторыми людьми, если мы хотим сохранить наши моральные принципы.",+
6,"Практически любая цензура книг или фильмов является посягательством на свободу слова и должна быть упразднена.",-
7,"Неповиновение правительству иногда оправдано.",-
8,"Никто не может избежать того, чтобы иногда причинять боль хорошему другу или родственнику.",-
9,"Когда молодые люди становятся взрослыми, они должны пытаться воплотить в жизнь некоторые из своих бунтарских идей, а не преодолевать их и подстраиваться под общество.",-
10,"Если мы примем в нашу страну больше иммигрантов, это обогатит нашу культуру.",-
11,"Одно только избирательное право еще не гарантирует демократическое правительство.",-
12,"Можно прожить действительно хорошую жизнь без сильных религиозных убеждений.",-
13,"Обязанность гражданина — критиковать или порицать свою страну, когда он считает, что она неправа.",-
14,"Честность, трудолюбие и вера в Бога не гарантируют материального вознаграждения.",-
15,"Разнообразие детей в современных школах вынуждает учителей устанавливать множество правил и норм, чтобы все шло гладко.",+
16,"Для Федеративной Республики Германии было бы опасно слишком тесно сотрудничать с нациями, которые отличаются от нас.",+
17,"События во Вселенной показывают Божьи намерения.",+
18,"Молодежи больше всего нужны строгая дисциплина, твердая решимость и готовность работать и бороться за семью и страну.",+
19,"Современная молодежь морально развращена плохой литературой.",+
20,"Совершенно естественно и правильно, что каждый считает свою семью лучше всех других.",+
21,"Самая серьезная угроза немецкой культуре за последние 50 лет исходила от чуждых идей и агитаторов.",+
22,"Мы должны быть благодарны лидерам, которые могут точно сказать нам, что и как мы должны делать.",+
