Id,Statement,Inverted,SDO-D,SDO-E
1,"Некоторые группы людей должны оставаться на своем месте.",0,1,0
2,"Вероятно, это хорошо, что одни группы людей находятся на вершине, а другие — внизу.",0,1,0
3,"Идеальное общество требует, чтобы некоторые группы людей были на вершине, а другие — внизу.",0,1,0
4,"Некоторые группы людей просто хуже чем другие группы.",0,1,0
5,"Те, кто внизу, столь же достойны, как и те, кто наверху.",1,1,0
6,"Ни одна группа не должна доминировать в обществе.",1,1,0
7,"Группы, находящиеся внизу, не должны оставаться на своем месте.",1,1,0
8,"Доминирование группы — плохой принцип.",1,1,0
9,"Мы не должны стремиться к равенству групп.",0,0,1
10,"Мы не должны пытаться гарантировать, что каждая группа будет иметь одинаковое качество жизни.",0,0,1
11,"Несправедливо пытаться сделать группы равными.",0,0,1
12,"Равенство групп не должно быть нашей главной целью.",0,0,1
13,"Мы должны работать над тем, чтобы дать всем группам равные шансы на успех.",1,0,1
14,"Мы должны делать все возможное, чтобы выравнять условия для разных групп.",1,0,1
15,"Независимо от того, сколько усилий это потребует, мы должны стремиться обеспечить всем группам равные возможности в жизни.",1,0,1
16,"Равенство групп должно быть нашим идеалом.",1,0,1
