Id,Statement,Inverted
1,我的知识和经验告诉我，我们生活的社会世界基本上是一个安全、稳定和有保障的地方，在这个世界里，大多数人从根本上都是善良的。,1
2,真正值得尊敬的人似乎一年比一年少，而威胁其他人的毫无道德可言的人却越来越多。,0
3,虽然表面上看，事情似乎在不断变得更加危险和混乱，但实际上并非如此。每个时代都有它的问题，而今天一个人安全、无忧无虑地生活的机会比以往任何时候都要好。,1
4,我们身边随时可能爆发混乱和无政府状态。所有迹象都表明了这一点。,0
5,在我们的社会中，有许多危险人物会出于纯粹的恶意，毫无理由地攻击他人。,0
6,"末日 ""并不临近。认为地震、战争和饥荒意味着上帝可能要毁灭世界的人是愚蠢的。",1
7,我的知识和经验告诉我，我们生活的社会世界基本上是一个危险和不可预测的地方，在这个世界上，善良、正派和有道德的人的价值观和生活方式受到坏人的威胁和破坏。,0
8,"尽管人们听到了 ""街头犯罪 ""的说法，但现在的犯罪率可能并不比过去高。",1
9,如果一个人采取了一些明智的预防措施，他或她就不会发生任何坏事；我们并不是生活在一个危险的世界里。,1
10,随着社会变得更加无法无天、兽性大发，一个人被抢劫、袭击甚至谋杀的几率也在与日俱增。,0
