Id,Statement
1,"Although it may appear that things are constantly getting more dangerous and chaotic, it really isn't so. Every era has its problems, and a person's chances of living a safe, untroubled life are better today then ever before."
2,"Any day now chaos and anarchy could erupt around us. All signs are pointing to it."
3,"There are many dangerous people in our society who will attack someone out of pure meanness, for no reason at all."
4,"Despite what one hears about ""crime on the street"", there probably isn't any more now than there ever has been."
5,"If a person takes a few sensible precautions, nothing bad is likely to happen to him or her; we do not live in a dangerous world."
6,"Every day as society becomes more lawless and bestial, a person's chances of being robbed, assaulted, and even murdered go up and up."
7,"My knowledge and experiences tell me that the social world we live in is basically a safe, stable, and secure place in which most people are fundamentally good."
8,"It seems that every year there are fewer and fewer truly respectable people, and more and more persons with no morals at all who threaten everyone else."
9,"The ""end"" is not near. People who think that earthquakes, wars, and famines mean God might be about to destroy the world are being foolish."
10,"My knowledge and experience tell me that the social world we live in is basically a dangerous and unpredictable place, in which good, decent, and moral people's values and way of life are threatened and disrupted by bad people."
