Id,Statement
1,"В определенных обстоятельствах диктатура является лучшей формой государственного устройства в интересах нации."
2,"Без уничтожения евреев Гитлер сегодня считался бы великим государственным деятелем."
3,"Сейчас Германии нужна единая сильная партия, которая будет олицетворять народное сообщество в целом."
4,"Нам нужен лидер, который будет править Германией сильной рукой на благо всех."
5,"Как и в природе, в обществе всегда должен преобладать более сильный."
6,"Иностранцы приезжают сюда только для того, чтобы воспользоваться преимуществами нашего социального государства."
7,"И сегодня влияние евреев по-прежнему слишком велико."
8,"Мы должны наконец снова обрести смелость и сильное чувство национальной гордости."
9,"На самом деле немцы по своей природе превосходят другие народы."
10,"Когда рабочих мест становится мало, иностранцев следует отправлять обратно на родину."
11,"Преступления национал-социализма были значительно преувеличены в историписании."
12,"Нашей стране необходимо жестко и энергично отстаивать интересы Германии на международной арене."
13,"Евреи больше, чем другие люди, используют гнусные уловки, чтобы добиться того, чего они хотят."
14,"Высшей целью немецкой политики должно быть обеспечение Германии той власти и авторитета, которые ей полагаются."
15,"Есть ценная жизнь и бесценная жизнь."
16,"Из-за большого количества иностранцев Федеративная Республика Германия подвергается опасному влиянию иностранцев."
17,"У евреев есть что-то особенное и своеобразное, и они не совсем совместимы с нами."
18,"У национал-социализма были и хорошие стороны."
