Id,Statement,Inverted,SUB,CONV,AGR
1,我们应该相信领导人告诉我们的话。,0,1,0,0
2,我们的领导人知道什么对我们最有利。,0,1,0,0
3,人们应该批评那些身居要职者的言论。,1,1,0,0
4,身居要职的人一般都会说实话。,0,1,0,0
5,人们应该对当权者的所有言论持怀疑态度。,1,1,0,0
6,质疑当权者的动机是有益于社会健康的。,1,1,0,0
7,人们过于强调传统。,1,0,1,0
8,传统是健康社会的基础，应该得到尊重。,0,0,1,0
9,如果有更多人遵守社会规范，对社会会更好。,0,0,1,0
10,传统阻碍进步,1,0,1,0
11,人们应该挑战社会传统，以推动社会进步。,1,0,1,0
12,人们应该尊重社会规范。,0,0,1,0
13,对付有威胁的团体，必须使用强大的武力。,0,0,0,1
14,对威胁权威的人使用武力是必要的。,0,0,0,1
15,警方应避免对嫌疑人使用暴力。,1,0,0,1
16,人们应避免对他人使用暴力，即使有关当局下令这样做。,1,0,0,1
17,对人民使用武力是错误的，即使是当权者这样做。,1,0,0,1
18,为了传递信息，强烈的惩罚是必要的。,0,0,0,1
