Id,Statement
1,"Человек, который думает в первую очередь о своем собственном счастье, не заслуживает уважения."
2,"Самое важное в жизни - чтобы человек хотел сделать что-то значимое."
3,"Во время дискуссии я часто считаю необходимым повторить свои слова несколько раз, чтобы убедиться, что меня правильно поняли."
4,"Большинство людей просто не знают, что для них хорошо."
5,"В такие времена,  как сейчас, нужно быть довольно эгоистичным, чтобы думать в первую очередь о своем собственном счастье."
6,"Человек, который не верит в какую-то великую идею, на самом деле не живет."
7,"Мне бы хотелось найти кого-то, кто подсказал бы мне, как решить мои личные проблемы."
8,"Из всех философских учений, которые существовали в этом мире, вероятно, только одно является правильным."
9,"Жизнь человека становится значимой, когда он посвящает себя идеалу или делу."
10,"В нашем сложном мире единственный способ понять, что происходит, — это полагаться на достойных доверия лидеров или экспертов."
11,"Есть ряд людей, которых я стал ненавидеть из-за их убеждений."
12,"Столько всего нужно сделать, а времени так мало."
13,"Лучше быть мертвым героем, чем живым трусом."
14,"Группа, которая толерирует слишком большие различия во мнениях среди своих членов, не может просуществовать долго."
15,"Вполне естественно, что человек гораздо лучше знаком с идеями, в которые он верит, чем с идеями, которым он противостоит."
16,"Хотя я не хочу признавать это даже самому себе, иногда у меня появляется амбиция стать великим человеком, таким как Эйнштейн, Бетховен или Шекспир."
17,"Несмотря на то, что свобода слова для всех групп является достойной целью, иногда, к сожалению, необходимо ограничивать свободу определенных политических групп."
18,"Если человек хочет выполнить своё жизненное предназначение, ему иногда приходится рисковать «всё или ничего»."
19,"Большинству людей просто «плевать» на других."
20,"Человек, который увлекается многими вещами, вероятно, довольно непостоянен."
21,"Идти на компромисс с нашими политическими оппонентами опасно, потому что это обычно приводит к предательству нашей собственной стороны."
22,"Если бы у меня была возможность, я бы хотел сделать что-то, что принесло бы большую пользу миру."
23,"В такие времена часто необходимо быть более настороженным по отношению к идеям, выдвигаемым некоторыми людьми или группами в своем собственном лагере, чем по отношению к идеям из враждебного лагеря."
24,"В ходе жаркой дискуссии я обычно настолько поглощен тем, что собираюсь сказать, что забываю слушать, что говорят другие."
25,"Как только я втягиваюсь в жаркую дискуссию, я просто не могу остановиться."
26,"В этом мире есть два типа людей: те, кто на стороне правды, и те, кто против нее."
27,"Человек сам по себе - беспомощное и несчастное существо."
28,"У Соединенных Штатов и России практически нет ничего общего."
29,"В истории человечества, вероятно, было всего несколько действительно великих мыслителей."
30,"Высшая форма правления - это демократия, а высшая форма демократии - это правление, осуществляемое самыми умными людьми."
31,"Настоящее слишком часто полно несчастья. Важно только будущее."
32,"К сожалению, многие люди, с которыми я обсуждал важные социальные и моральные проблемы, на самом деле не понимают, что происходит."
33,"По сути, мир, в котором мы живем, - довольно одинокое место."
34,"Зачастую желательно воздержаться от суждений о происходящем, пока не услышишь мнение тех, кого уважаешь."
35,"Худшее преступление, которое может совершить человек, - это публично нападать на тех, кто верит в то же, во что верит он сам."
36,"В долгосрочной перспективе лучший способ жить - это выбирать друзей и знакомых, чьи вкусы и убеждения совпадают с вашими."
37,"Большинство идей, которые публикуются в наши дни, не стоят бумаги, на которой они напечатаны."
38,"Совершенно естественно, что человек боится будущего."
39,"Моя кровь закипает, когда человек упорно отказывается признать, что он неправ."
40,"Когда речь идёт о разногласиях в религиозных вопросах, мы должны следить за тем, чтобы не идти на компромиссы с теми, кто верит иначе, чем мы."
