Id,Statement,Inverted
1,"Sicherheit für die Menschen in unserer Gesellschaft und unseren Gemeinden ist für mich KEIN wichtiges Thema.",1
2,"Es ist wichtig, zu versuchen, das Chaos und die Unordnung in vielen unserer Gemeinden zu verringern.",0
3,"Wir brauchen mehr Ordnung, Stabilität und Sicherheit in unserer Gesellschaft.",0
4,"Unsere Gesellschaft und unsere Gemeinden müssen für die Menschen NICHT weniger gefährlich und risikoreich gemacht werden.",1
5,"Unsere Gesellschaft muss für normale Menschen sicherer gemacht werden.",0
6,"Wir brauchen mehr Kontrolle über das, was in unserer Gesellschaft geschieht.",0
7,"Ordnung, Stabilität und Sicherheit in meinem Land sind für mich KEINE wichtigen Themen.",1
8,"Unsere Gesellschaft sicherer und weniger gefährlich zu machen, ist für mich nicht besonders wichtig.",1
9,"Es ist einfach nicht wahr, dass es notwendig ist, Chaos und Unordnung in vielen unserer Gemeinden zu reduzieren.",1
10,"Wir müssen versuchen, zu verhindern, dass unsere Gesellschaft in Anarchie und Unordnung abgleitet.",0
11,"Wir brauchen mehr Ordnung, Stabilität und Vorhersehbarkeit in unserer Gesellschaft und unseren Gemeinden.",0
12,"Es besteht KEIN Bedarf, unsere Gesellschaft geordneter, gesetzestreuer und stabiler zu machen.",1
