Id,Statement,Inverted
1,"I always do things in the same way.",0
2,"I like to give new things a try.",1
3,"If something happens to somebody I tend to think: ""He/She deserved it!""",0
4,"I sympathize with people to whom something happens.",1
5,"I like to meet new people.",1
6,"I don't like to meet new people.",0
7,"I feel uncomfortable in new and unfamiliar situations.",0
8,"I like new and unfamiliar situations.",1
9,"I tend to side with the stronger party.",0
10,"I often side with the weaker party.",1
11,"I like change.",1
12,"I don't like change.",0
13,"I back down in conﬂicts, but I look for revenge.",0
14,"I tend to address conﬂicts directly.",1
15,"I admire dominant people.",0
16,"I despise people who try to dominate others.",1
17,"People who are not on my side are against me.",0
18,"I can accept people who are not on my side.",1
19,"I try to avoid contact with people who are different.",0
20,"I like to have contact with people, even those who are different.",1
21,"I like groups where everything has been organized.",0
22,"I like groups where the members have to organize everything by themselves.",1
23,"When people depend on me, I like to make them feel it.",0
24,"When people depend on me, I don't make them feel it.",1
25,"I like to join people I do not know.",1
26,"I feel uncomfortable with people I do not know.",0
27,"I admire people who have the ability to give in.",1
28,"I think people who give in are sissies.",0
29,"I want to have a peaceful life.",0
30,"I want to have an exciting life.",1
31,"I like spontaneous people, even if they sometimes are unpredictable.",1
32,"I prefer people whose behavior can always be predicted.",0
33,"I have problems following orders that I am not absolutely convinced of.",1
34,"I have no problems following orders, even when I am not convinced of their necessity.",0
35,"I feel sorry for people in severe trouble.",1
36,"I don't feel sorry for people in severe trouble.",0
37,"I always like to learn new things.",1
38,"I am satisﬁed with what I know.",0
39,"I am irritated by people who call well established things into question.",0
40,"I admire people who call well-established things into question.",1
41,"I follow orders given by superiors, even when I am not convinced.",0
42,"I try to get around orders which do not convince me.",1
43,"I like to be confronted with new ideas.",1
44,"I don't like to be confronted with new ideas.",0
45,"I don't discuss fundamental questions.",0
46,"I think I might learn something new even when fundamental questions are at stake.",1
