Id,Statement,Polarity,RIG,DOG
1,"Я считаю, что всегда лучше делать вещи традиционным образом.",+,1,0
2,"Я всегда очень тщательно подбираю одежду.",+,1,0
3,"Меня очень раздражает, когда неожиданные гости приходят без предупреждения.",+,1,0
4,"Как только я сформировал мнение, я остаюсь ему верен.",+,1,0
5,"Когда я ухожу из дома, я всегда проверяю, выключил ли я плиту и свет.",+,1,0
6,"Я неохотно принимаю изменения, так как сильно привязываюсь к вещам.",+,1,0
7,"Во всем, что я делаю, я действую по плану.",+,1,0
8,"Время от времени нужно отказываться от своих привычек и делать что-то совершенно новое.",-,1,0
9,"Когда я одеваюсь, я всегда надеваю вещи в одном и том же порядке.",+,1,0
10,"Я считаю, что мой подход к решению задач обычно является лучшим, даже если на первый взгляд это не так.",+,1,0
11,"Новые и непривычные ситуации доставляют мне дискомфорт.",+,1,0
12,"Мне все равно, убрана ли моя квартира или нет.",-,1,0
13,"Время от времени я делаю что-то опасное просто для удовольствия.",-,1,0
14,"Мне нравится действовать по принципу: ""Лучше быть осторожным, чем потом пожалеть"".",+,1,0
15,"Если я что-то начал, то довожу это до конца.",+,1,0
16,"К сожалению, я иногда опаздываю.",-,1,0
17,"Моё желание на будущее — жить как можно более спокойной жизнью.",+,1,0
18,"Первое впечатление о человеке почти всегда является верным.",+,0,1
19,"Человек становится по-настоящему значимым только тогда, когда посвящает себя великому делу.",+,0,1
20,"Люди такие, какие они есть, и едва ли их можно изменить.",+,0,1
21,"Для детей гораздо важнее научиться быть независимыми и критически относиться к родителям, чем просто подчиняться им.",+,0,1
22,"Каждый человек обязан защищать сообщество, в которое он родился.",-,0,1
23,"Политическим группам следует предоставлять свободу слова, даже если известно, что их цели опасны.",+,0,1
24,"На людей, которые увлекаются многими вещами, можно полагаться так же, как и на других.",-,0,1
25,"Во время дискуссии часто необходимо повторить свои слова несколько раз, чтобы быть уверенным, что тебя поняли.",-,0,1
26,"В наши дни распространяется много безумных идей. По большинству из них остаётся только недоумевать, как кто-то может в это верить.",+,0,1
27,"Женщины по своей природе мыслят менее ясно, чем мужчины, потому что они в большей степени руководствуются чувствами.",+,0,1
28,"В нашем сложном современном мире единственный способ понять, что происходит, — это полагаться на лидеров и экспертов.",+,0,1
29,"Можно спокойно позволять ребенку не соглашаться с родителями. При этом уважение к родителям все равно останется.",+,0,1
30,"При принятии важных личных решений следует опираться на советы старших, более опытных людей.",+,0,1
31,"Лучше иногда менять свою точку зрения, чем упорно держаться за уже принятую.",+,0,1
32,"Совершенно естественно бояться будущего.",+,0,1
33,"Некоторых людей нужно ненавидеть за то, какие убеждения они отстаивают.",+,0,1
34,"Можно разозлиться, если кто-то упорно отказывается признать свою неправоту.",-,0,1
35,"Дети должны иметь право голоса при принятии семейных решений.",+,0,1
36,"Женщины должны интересоваться политикой и социальными проблемами так же, как и своей семьей.",-,0,1
37,"Оказавшись предоставленными самим себе, люди — беспомощные и жалкие существа.",+,0,1
38,"Совершенно естественно, что человек лучше знаком с идеями, которые он считает правильными, чем с теми, с которыми он борется.",+,0,1
39,"Слишком разговоров и обсуждений, и слишком мало действий.",+,0,1
40,"Даже сегодня у женщин меньше прав, чем у мужчин. Это должно измениться.",+,0,1
41,"Людей, не испытывающих любви и уважения к своим родителям, можно только презирать.",+,0,1
