Id,Statement,Polarity
1,"As long as our teachers are forbidden to physically punish students, our schools will go downhill.",+
2,"If humanity continues on its reprehensible path, God will probably have to destroy it.",+
3,"In general, it is beneficial for a child in later life if he is forced to conform to his parents' ideas.",+
4,"People today are generally more violent and immoral than they used to be.",+
5,"The current levels of crime and sexual immorality make it seem necessary to deal more harshly with certain people if we want to uphold our moral principles.",+
6,"Almost all censorship of books or films is a violation of freedom of expression and should be abolished.",-
7,"Disobedience to the government is sometimes justified.",-
8,"No one can avoid occasionally hurting a good friend or relative.",-
9,"When young people grow up, they should try to realize some of their rebellious ideas instead of overcoming them and conforming.",-
10,"Allowing more immigrants into our country will enrich our culture.",-
11,"The right to vote alone does not guarantee a democratic government.",-
12,"You can live a really good life without strong religious beliefs.",-
13,"It is the duty of a citizen to criticize or rebuke his country whenever he believes it to be in the wrong.",-
14,"Honesty, diligence, and trust in God do not guarantee material rewards.",-
15,"The colorful mix of different children in today's schools forces teachers to establish a lot of rules and regulations to keep everything running smoothly.",+
16,"It would be dangerous for the Federal Republic to cooperate too closely with nations that are different from us.",+
17,"The events in space reveal God's intentions.",+
18,"What young people need most is strict discipline, tough determination, and the will to work and fight for their families and their country.",+
19,"Today's youth are being morally corrupted by bad literature.",+
20,"It is only natural and right for everyone to think their family is better than any other.",+
21,"The worst threat to German culture during the last 50 years has come from foreign ideas and agitators.",+
22,"We should be grateful for leaders who can tell us exactly what to do and how to do it.",+
