Id,Statement,Inverted,HARM,COOP,PROG,REG,STAB,JUST,PL
1,"Insgesamt ist die Welt ein sicherer Ort.",0,1,0,0,0,0,0,0
2,"Die wahre Gefahr ist überall, auch wenn wir sie nicht bemerken.",1,1,0,0,0,0,0,0
3,"Die meisten Dinge und Situationen sind harmlos und völlig ungefährlich.",0,1,0,0,0,0,0,0
4,"Ich neige dazu, die Welt als ziemlich sicher zu betrachten.",0,1,0,0,0,0,0,0
5,"Insgesamt ist die Welt ein gefährlicher Ort.",1,1,0,0,0,0,0,0
6,"Das Leben ist kein kooperativer Prozess, sondern ein brutaler Wettkampf, in dem man alles tun muss, um zu überleben.",1,0,1,0,0,0,0,0
7,"Für alles Leben - von den kleinsten Organismen über Pflanzen und Tiere bis hin zu den Menschen - herrscht ein gnadenloser Wettbewerb.",1,0,1,0,0,0,0,0
8,"Anstatt kooperativ zu sein, ist die Welt ein gnadenloser und wettbewerbsorientierter Ort.",1,0,1,0,0,0,0,0
9,"Die Welt funktioniert viel mehr auf der Grundlage von Vertrauen und Zusammenarbeit als auf der Grundlage von Misstrauen und Wettbewerb.",0,0,1,0,0,0,0,0
10,"Insgesamt gesehen wird die Welt immer schlechter.",1,0,0,1,0,0,0,0
11,"Es fühlt sich an, als würde die Welt bergab gehen.",1,0,0,1,0,0,0,0
12,"Obwohl es Probleme auf der Welt gibt, verbessert sich die Lage insgesamt definitiv.",0,0,0,1,0,0,0,0
13,"Es fühlt sich an, als würde die Welt immer besser werden.",0,0,0,1,0,0,0,0
14,"Auch wenn sich Situationen manchmal verschlechtern, verbessern sie sich in der Regel.",0,0,0,0,1,0,0,0
15,"Die meisten Dinge haben die Angewohnheit, sich zu verschlechtern.",1,0,0,0,1,0,0,0
16,"Die meisten Dinge und Situationen tendieren dazu, sich zu verbessern, nicht zu verschlechtern.",0,0,0,0,1,0,0,0
17,"Im Laufe der Zeit verschlechtern sich die meisten Situationen naturgemäß, statt sich zu verbessern.",1,0,0,0,1,0,0,0
18,"Die Welt ist ein Ort, an dem Dinge zerbrechlich sind und leicht zerstört werden können.",1,0,0,0,0,1,0,0
19,"Es braucht viel, damit Dinge auseinanderfallen.",0,0,0,0,0,1,0,0
20,"Die meisten Dinge und Situationen sind empfindlich und können leicht zerstört werden.",1,0,0,0,0,1,0,0
21,"Die meisten Situationen sind heikel. Auch wenn jetzt alles in Ordnung ist, kann sich die Lage schnell ändern.",1,0,0,0,0,1,0,0
22,"Die Welt ist ein Ort, an dem sich harte Arbeit und Freundlichkeit auszahlen.",0,0,0,0,0,0,1,0
23,"Wenn jemand großzügig und freundlich ist, wird die Welt ihm ebenfalls freundlich begegnen.",0,0,0,0,0,0,1,0
24,"Die Welt ist ein Ort, an dem wir selten das bekommen, was wir verdienen.",1,0,0,0,0,0,1,0
25,"Das Leben bietet mehr Leid als Freude.",1,0,0,0,0,0,0,1
26,"Insgesamt ist die Welt ein guter Ort.",0,0,0,0,0,0,0,1
27,"Das Leben in dieser Welt ist in der Regel von Schmerz und Leid geprägt.",1,0,0,0,0,0,0,1
28,"Das Leben bietet viel mehr Freude als Leid.",0,0,0,0,0,0,0,1
29,"Die meisten Dinge auf der Welt sind gut.",0,0,0,0,0,0,0,1
