Id,Statement,Inverted,AGR,SUB,CONV
1,"What our country really needs instead of more ""civil rights"" is a good stiff dose of law and order.",0,1,0,0
2,"What our country really needs is a strong determined Chancellor which will crush the evil and set us on our right way again.",0,1,0,0
3,"There is no such crime to justify capital punishment.",1,1,0,0
4,"It is important to protect the rights of radicals and deviants in all ways.",1,1,0,0
5,"Obedience and respect for authority are the most important values children should learn.",0,0,1,0
6,"The real keys to the ""good life"" are obedience, discipline, and virtue.",0,0,1,0
7,"The days when women are submissive should belong strictly in the past. A ""woman's place"" in society should be wherever she wants to be.",1,0,1,0
8,"It is good that nowadays young people have greater freedom ""to make their own rules"" and to protest against things they don't like.",1,0,1,0
9,"The withdrawal from tradition will turn out to be a fatal fault one day.",0,0,0,1
10,"Being virtuous and law-abiding is in the long run better for us than permanently challenging the foundation of our society.",0,0,0,1
11,"People should develop their own personal standards about good and evil and pay less attention to the Bible and other old, traditional forms of religious guidance.",1,0,0,1
12,"Homosexual long-term relationships should be treated as equivalent to marriage.",1,0,0,1
