Id,Statement,Inverted
1,"Я всегда делаю все одинаково.",0
2,"Я люблю пробовать новое.",1
3,"Если с кем-то что-то происходит, я склонен думать: ""Он/она это заслужил(а)!""",0
4,"Я сочувствую людям, с которыми что-то происходит.",1
5,"Мне нравится знакомиться с новыми людьми.",1
6,"Мне не нравится знакомиться с новыми людьми.",0
7,"Я чувствую себя некомфортно в новых и незнакомых ситуациях.",0
8,"Мне нравятся новые и незнакомые ситуации.",1
9,"Я склонен поддерживать более сильную сторону.",0
10,"Я часто на стороне более слабой стороны.",1
11,"Мне нравятся перемены.",1
12,"Мне не нравятся перемены.",0
13,"Я уступаю в конфликтах, но ищу мести.",0
14,"Я склонен решать конфликты напрямую.",1
15,"Я восхищаюсь доминирующими людьми.",0
16,"Я презираю людей, которые пытаются доминировать над другими.",1
17,"Люди, которые не на моей стороне, против меня.",0
18,"Я могу принять людей, которые не на моей стороне.",1
19,"Я стараюсь избегать контактов с людьми, которые отличаются от меня.",0
20,"Мне нравится общаться с людьми, даже с теми, кто отличается от меня.",1
21,"Мне нравятся группы, в которых все организовано.",0
22,"Мне нравятся группы, в которых участники должны все организовывать сами.",1
23,"Когда люди зависят от меня, мне нравится, чтобы они это чувствовали.",0
24,"Когда люди зависят от меня, я не даю им это почувствовать.",1
25,"Мне нравится присоединяться к людям, которых я не знаю.",1
26,"Я чувствую себя некомфортно с людьми, которых я не знаю.",0
27,"Я восхищаюсь людьми, которые умеют уступать.",1
28,"Я считаю, что люди, которые уступают, — слабаки.",0
29,"Я хочу жить спокойной жизнью.",0
30,"Я хочу жить интересной жизнью.",1
31,"Мне нравятся спонтанные люди, даже если они иногда бывают непредсказуемыми.",1
32,"Я предпочитаю людей, поведение которых всегда можно предсказать.",0
33,"Мне трудно выполнять приказы, в которых я не абсолютно уверен.",1
34,"Мне не трудно выполнять приказы, даже если я не уверен в их необходимости.",0
35,"Мне жаль людей, которые находятся в тяжелой ситуации.",1
36,"Мне не жаль людей, которые находятся в тяжелой ситуации.",0
37,"Мне всегда нравится узнавать что-то новое.",1
38,"Я доволен тем, что знаю.",0
39,"Меня раздражают люди, которые ставят под сомнение устоявшиеся вещи.",0
40,"Я восхищаюсь людьми, которые ставят под сомнение устоявшиеся вещи.",1
41,"Я выполняю приказы начальства, даже если я в них не уверен.",0
42,"Я стараюсь обойти приказы, которые меня не убеждают.",1
43,"Мне нравится сталкиваться с новыми идеями.",1
44,"Мне не нравится сталкиваться с новыми идеями.",0
45,"Я не обсуждаю фундаментальные вопросы.",0
46,"Я думаю, что могу узнать что-то новое, даже когда речь идет о фундаментальных вопросах.",1
