Id,Statement,Short,Inverted,AUTH,CONS,TRAD
1,强大、强硬的政府对我们的国家有害无益。,1,1,1,0,0
2,对游手好闲的人或罪犯仁慈只会助长他们利用你的弱点，所以在对付他们时最好使用强硬的手段。,1,0,1,0,0
3,我们的社会并不需要更强硬的政府和更严格的法律。,1,1,1,0,0
4,犯罪事实和最近发生的公共骚乱表明，如果我们要维护法律和秩序，就必须加大对闹事者的打击力度。,1,0,1,0,0
5,我们的监狱是一个令人震惊的耻辱。罪犯是不幸的人，他们应该得到更好的照顾，而不是如此多的惩罚。,1,1,1,0,0
6,"按照这个国家目前的发展态势，要想整顿那些捣乱分子、罪犯和变态，还得下一番 ""猛药""。",1,0,1,0,0
7,我们应该粉碎一切给社会带来麻烦的消极因素。,0,0,1,0,0
8,我们国家的形势已经变得如此严峻，如果能消灭麻烦制造者，让我们回到真正的道路上来，那么再强硬的手段也是有道理的。,0,0,1,0,0
9,说我们的法律应该更严格、更严厉地执行的人是错误的。我们需要对违法者有更大的宽容和更宽松的待遇。,0,1,1,0,0
10,法院对毒品犯罪者网开一面是正确的。在这种情况下，惩罚不会有任何好处。,0,1,1,0,0
11,我们国家真正需要的是严厉的法律和秩序。,0,0,1,0,0
12,死刑是野蛮的，从来都不是正义的。,0,1,1,0,0
13,现在很多年轻人都准备反抗权威，这很好。,1,1,0,1,0
14,我们的国家最需要的是纪律，每个人都要团结一致地追随我们的领导人。,1,0,0,1,0
15,必须鼓励高中生和大学生挑战、批评和对抗既有权威。,1,1,0,1,0
16,服从和尊重权威是孩子们应该学习的最重要的美德。,1,0,0,1,0
17,如果我们尊重权威，服从领导，我们的国家就会变得伟大。,1,0,0,1,0
18,人们应随时准备抗议和挑战他们不同意的法律。,1,1,0,1,0
19,应该允许人们发表演讲和著书立说，敦促推翻政府。,0,1,0,1,0
20,越多人愿意批评当局、挑战和抗议政府，对社会就越有利。,0,1,0,1,0
21,人们应该停止教导孩子服从权威。,0,1,0,1,0
22,"好生活 ""的真正关键在于尊重权威和服从当权者。",0,0,0,1,0
23,我们应该服从当局，因为他们最清楚什么对国家有利。,0,0,0,1,0
24,我们应该毫无疑问地服从领导。,0,0,0,1,0
25,没有人应该固步自封。相反，人们应该打破束缚，尝试各种不同的想法和体验。,1,1,0,0,1
26,"老式的方式 ""和 ""老式的价值观 ""仍然是最好的生活方式。",1,0,0,0,1
27,必须严格遵守上帝关于堕胎、色情和婚姻的律法，否则就为时已晚。,1,0,0,0,1
28,裸体主义者营地绝对没有任何问题。,1,1,0,0,1
29,如果年轻人不再尝试毒品、酒精和性，并更加注重家庭价值观，这个国家就会繁荣昌盛。,1,0,0,0,1
30,婚前性行为没有错。,1,1,0,0,1
31,传统价值观、习俗和道德有很多问题。,0,1,0,0,1
32,每个人都应该有自己的生活方式、宗教信仰和性偏好，即使这让他们与其他人不同。,0,1,0,0,1
33,许多年轻人激进而罪恶的新生活和行为方式有朝一日可能会毁掉我们的社会。,0,0,0,0,1
34,我们社区中的低俗杂志和激进文学正在毒害青少年的心灵。,0,0,0,0,1
35,我们必须维护我们的传统价值观和道德标准。,0,0,0,0,1
36,人们应该减少对《圣经》和其他老式宗教指导形式的关注，转而制定自己的道德和不道德标准。,0,1,0,0,1
