Id,Statement,Inverted,SUB,CONV,AGR
1,"Мы должны верить тому, что говорят нам наши лидеры.",0,1,0,0
2,"Наши лидеры знают, что для нас лучше.",0,1,0,0
3,"Люди должны критически относиться к заявлениям тех, кто занимает руководящие посты.",1,1,0,0
4,"Люди, занимающие руководящие посты, как правило, говорят правду.",0,1,0,0
5,"Люди должны скептически относиться ко всем заявлениям людей, занимающих руководящие посты.",1,1,0,0
6,"Сомнение в мотивах людей, находящихся у власти, полезно для общества.",1,1,0,0
7,"Люди придают слишком большое значение традициям.",1,0,1,0
8,"Традиции являются основой здорового общества и должны уважаться.",0,0,1,0
9,"Для общества было бы лучше, если бы больше людей следовали социальным нормам.",0,0,1,0
10,"Традиции мешают прогрессу.",1,0,1,0
11,"Люди должны бросать вызов социальным устоям, чтобы продвигать общество вперед.",1,0,1,0
12,"Люди должны уважать социальные нормы.",0,0,1,0
13,"Против угрожающих групп необходимо применять силовые меры.",0,0,0,1
14,"Необходимо применять силу против людей, которые представляют угрозу для власти.",0,0,0,1
15,"Полиция должна избегать применения насилия против подозреваемых.",1,0,0,1
16,"Люди должны избегать применения насилия по отношению к другим, даже если это предписывается соответствующими органами власти.",1,0,0,1
17,"Применение силы по отношению к людям является неправильным, даже если это делается представителями власти.",1,0,0,1
18,"Суровые наказания необходимы для того, чтобы послать сигнал.",0,0,0,1
