Id,Statement
1,"Es ist eine Welt, in der jeder gegen jeden kämpft und man manchmal rücksichtslos sein muss."
2,"Es gibt eigentlich kein ""richtig"" und ""falsch"". Es kommt nur darauf an, womit man durchkommt."
3,"Eine der nützlichsten Fähigkeiten, die man entwickeln sollte, ist, jemandem direkt in die Augen zu schauen und überzeugend zu lügen."
4,"Mein Wissen und meine Erfahrung sagen mir, dass die soziale Welt, in der wir leben, im Grunde ein konkurrierender ""Dschungel"" ist, in dem nur die Stärksten überleben und Erfolg haben, in dem Macht, Reichtum und Sieg alles sind und Macht vor Recht geht."
5,"Im Grunde genommen sind Menschen Objekte, die man still und kühl zu seinem eigenen Vorteil manipulieren kann."
6,"Das Leben wird nicht vom ""Überleben des Stärkeren"" bestimmt. Wir sollten uns von Mitgefühl und moralischen Gesetzen leiten lassen."
7,"Es ist besser, geliebt zu werden als gefürchtet."
8,"Behandle andere so, wie du selbst behandelt werden möchtest, und tue niemals jemandem Unrecht."
9,"Ehrlichkeit ist in allen Fällen die beste Politik."
10,"Man sollte anderen im Zweifelsfall glauben. Die meisten Menschen sind vertrauenswürdig, wenn man ihnen Vertrauen schenkt."
