Id,Statement,Inverted,AGR,SUB,CONV
1,"Нашей стране вместо дополнительных ""гражданских прав"" нужна хорошая доза закона и порядка.",0,1,0,0
2,"Нашей стране действительно нужен сильный и решительный канцлер, который сокрушит зло и вернет нас на правильный путь.",0,1,0,0
3,"Нет такого преступления, которое оправдывало бы смертную казнь.",1,1,0,0
4,"Важно защищать права радикалов и инакомыслящих во всех аспектах.",1,1,0,0
5,"Послушание и уважение к авторитету – это самые важные ценности, которым должны научиться дети.",0,0,1,0
6,"Настоящие ключи к ""хорошей жизни"" - это послушание, дисциплина и добродетель.",0,0,1,0
7,"Времена, когда женщины были покорными, должны остаться в прошлом. ""Место женщины"" в обществе должно быть там, где она сама хочет быть.",1,0,1,0
8,"Хорошо, что в наши дни у молодых людей есть больше свободы ""устанавливать свои правила"" и протестовать против того, что им не нравится.",1,0,1,0
9,"Отказ от традиций однажды будет считаться фатальной ошибкой.",0,0,0,1
10,"В долгосрочной перспективе для нас более целесообразно придерживаться добродетели и законопослушания, нежели систематически подвергать сомнению фундаментальные основы общества.",0,0,0,1
11,"Люди должны развивать свои собственные личные представления о добре и зле и уделять меньше внимания Библии и другим старым, традиционным формам религиозного руководства.",1,0,0,1
12,"Долгосрочные гомосексуальные союзы должны признаваться наравне с браками.",1,0,0,1
