Id,Statement,Polarity
1,只要禁止教师体罚学生，我们的学校就会走下坡路。,+
2,如果人类继续走其应受谴责的道路，上帝很可能不得不毁灭它。,+
3,一般来说，如果孩子被迫遵从父母的想法，对他以后的生活是有好处的。,+
4,今天的人们普遍比过去更暴力、更不道德。,+
5,目前的犯罪率和性不道德程度让人觉得，如果我们要坚持我们的道德原则，就必须对某些人采取更严厉的措施。,+
6,几乎所有对书籍或电影的审查都是对言论自由的侵犯，应予以废除。,-
7,不服从政府有时是合理的。,-
8,没有人能避免偶尔伤害好友或亲人。,-
9,年轻人在成长过程中，应该努力实现自己的一些叛逆想法，而不是克服叛逆、墨守成规。,-
10,允许更多移民进入我们的国家将丰富我们的文化。,-
11,投票权本身并不能保证政府的民主。,-
12,没有强烈的宗教信仰，也能过上真正美好的生活。,-
13,每当公民认为自己的国家做错了，就有责任批评或指责它。,-
14,诚实、勤奋和对上帝的信任并不能保证物质回报。,-
15,如今，学校里的孩子五颜六色，这迫使老师们制定大量的规章制度，以保证一切工作顺利进行。,+
16,对于联邦共和国来说，与不同于我们的国家进行过于密切的合作是危险的。,+
17,太空中的事件揭示了上帝的意图。,+
18,年轻人最需要的是严格的纪律、坚韧的决心以及为家庭和国家而工作和奋斗的意志。,+
19,今天的年轻人正在被不良文学作品腐蚀道德。,+
20,每个人都认为自己的家庭比其他家庭更好，这是理所当然的。,+
21,过去 50 年中，德国文化面临的最大威胁来自于外国思想和煽动者。,+
22,我们应该感谢那些能够明确告诉我们该做什么以及如何去做的领导者。,+
