Id,Statement,Inverted
1,"Ich mache Dinge immer auf die gleiche Weise.",0
2,"Ich probiere gerne neue Dinge aus.",1
3,"Wenn jemandem etwas zustößt, neige ich dazu zu denken: ""Er/Sie hat es verdient!""",0
4,"Ich habe Mitgefühl mit Menschen, denen etwas zustößt.",1
5,"Ich lerne gerne neue Leute kennen.",1
6,"Ich lerne nicht gerne neue Leute kennen.",0
7,"Ich fühle mich in neuen und ungewohnten Situationen unwohl.",0
8,"Ich mag neue und ungewohnte Situationen.",1
9,"Ich neige dazu, mich auf die Seite der stärkeren Partei zu stellen.",0
10,"Ich stelle mich oft auf die Seite der schwächeren Partei.",1
11,"Ich mag Veränderungen.",1
12,"Ich mag keine Veränderungen.",0
13,"Ich weiche in Konflikten zurück, aber ich sinne auf Rache.",0
14,"Ich neige dazu, Konflikte direkt anzusprechen.",1
15,"Ich bewundere dominante Menschen.",0
16,"Ich verachte Menschen, die versuchen, andere zu dominieren.",1
17,"Menschen, die nicht auf meiner Seite stehen, sind gegen mich.",0
18,"Ich kann Menschen akzeptieren, die nicht auf meiner Seite stehen.",1
19,"Ich versuche, den Kontakt mit Menschen zu vermeiden, die anders sind.",0
20,"Ich mag den Kontakt mit Menschen, auch mit denen, die anders sind.",1
21,"Ich mag Gruppen, in denen alles organisiert ist.",0
22,"Ich mag Gruppen, in denen die Mitglieder alles selbst organisieren müssen.",1
23,"Wenn Menschen sich auf mich verlassen, möchte ich ihnen das spüren lassen.",0
24,"Wenn Menschen sich auf mich verlassen, lasse ich sie das nicht spüren.",1
25,"Ich schließe mich gerne Menschen an, die ich nicht kenne.",1
26,"Ich fühle mich unwohl mit Menschen, die ich nicht kenne.",0
27,"Ich bewundere Menschen, die die Fähigkeit haben, nachzugeben.",1
28,"Ich finde Menschen, die nachgeben, feige.",0
29,"Ich möchte ein friedliches Leben führen.",0
30,"Ich möchte ein aufregendes Leben führen.",1
31,"Ich mag spontane Menschen, auch wenn sie manchmal unberechenbar sind.",1
32,"Ich bevorzuge Menschen, deren Verhalten immer vorhersehbar ist.",0
33,"Ich habe Probleme damit, Anweisungen zu befolgen, von denen ich nicht absolut überzeugt bin.",1
34,"Ich habe keine Probleme damit, Anweisungen zu befolgen, auch wenn ich von ihrer Notwendigkeit nicht überzeugt bin.",0
35,"Ich habe Mitleid mit Menschen, die in großen Schwierigkeiten stecken.",1
36,"Ich habe kein Mitleid mit Menschen, die in großen Schwierigkeiten stecken.",0
37,"Ich lerne immer gerne Neues.",1
38,"Ich bin mit meinem Wissen zufrieden.",0
39,"Ich ärgere mich über Menschen, die Etabliertes in Frage stellen.",0
40,"Ich bewundere Menschen, die Etabliertes in Frage stellen.",1
41,"Ich befolge Anweisungen von Vorgesetzten, auch wenn ich nicht davon überzeugt bin.",0
42,"Ich versuche, Anweisungen zu umgehen, die mich nicht überzeugen.",1
43,"Ich mag es, mit neuen Ideen konfrontiert zu werden.",1
44,"Ich mag es nicht, mit neuen Ideen konfrontiert zu werden.",0
45,"Ich diskutiere keine grundlegenden Fragen.",0
46,"Ich denke, dass ich auch dann etwas Neues lernen kann, wenn es um grundlegende Fragen geht.",1
