Id,Statement,Polarity
1,只有通过工作，人才能获得真正的幸福。,+
2,现在的年轻人大多过得太好了，是时候让他们重新学习严格的纪律了。,+
3,战争总是会有的，人就是这样。,+
4,有太多的空谈和讨论；这让我们一事无成。,+
5,我们应该与自己的过去划清界限；就像其他人也遇到过糟糕的事情一样。,+
6,我们今天的监狱设置方式，惩罚几乎就是一种奖励。,+
7,美国人也许文明，但他们没有文化。,+
8,大多数人都不可信。,+
9,如果我们能以某种方式清除不可救药的罪犯，我们的社会问题就会迎刃而解。,+
10,服从和尊重权威是孩子们应该学习的最重要的美德。,+
11,与行为恶劣的人相处是不可能的。,+
12,对我们的社会而言，商人和生产者比艺术家和教授更重要。,+
13,年轻人有时会有叛逆的想法，但随着年龄的增长，他们应该会逐渐摆脱这种想法。,+
14,比起法律和计划，我们的国家今天更需要的是一些值得信赖的勇敢的政治家。,+
15,坚强的意志可以战胜一切困难和弱点。,+
16,很难相信，我们的生活受到黑暗阴谋和操纵的影响有多大。,+
17,一个正直的人绝不会想到去伤害好朋友或亲戚。,+
18,人生中最重要的东西只能通过亲身经历才能学到。,+
19,最可怜的人莫过于对父母没有爱和尊重的人。,+
20,有些人天生就有自杀倾向。,+
21,一个人不应该过多地纠缠于自己的烦恼和问题，而应该把时间花在更愉快的事情上。,+
22,从今天听到和看到的一切来看，性道德的衰退令人担忧。,+
23,单靠工作并不能带来真正的幸福。,-
24,也许，现在的年轻人大多过得太好了；但是，仅靠更严格的纪律并不能改善这种状况。,-
25,战争和争端并非人类的天性。,-
26,凡事都应深思熟虑，充分讨论，否则终将一事无成。,-
27,我们应该仔细看看我们最近的过去，即使其他人也经历过同样可怕的事情。,-
28,我们的监狱应减少对惩罚的关注，而更多地关注治疗和康复。,-
29,美国人不仅文明程度高，文化水平也很高。,-
30,大多数人都值得信赖。,-
31,即使我们能以某种方式摆脱不可救药的罪犯，我们的社会问题在很大程度上仍然无法解决。,-
32,服从和尊重权威绝不是孩子们应该学习的最重要的东西。,-
33,不良行为自然会让人难以相处，但你也必须与这样的人相处。,-
34,对于我们的社会而言，艺术家和教授与商人和生产者同样重要。,-
35,年轻人有时会有叛逆的想法，但成年后他们总是顺从，不幸的是，他们不再把这些想法当回事。,-
36,今天，我们需要更好的法律和计划，同样也需要值得信赖的勇敢的政治家。,-
37,无论我们的意志有多么坚定，我们往往会因为困难和弱点而失败。,-
38,我们可以随心所欲地塑造自己的生活，几乎不受黑暗阴谋和操纵的影响。,-
39,即使是一个正直的人，也会经常想到一些可能伤害好朋友或亲戚的事情。,-
40,你不需要通过自己的经历来学习生活中最重要的东西。,-
41,最好承认自己并不总是对父母充满爱和崇敬。,-
42,如果说有些人容易自杀，那肯定不是与生俱来的。,-
43,一个人应该冷静地思考自己的烦恼和问题，不要让自己被更愉快的事情所干扰。,-
44,我们今天听到的关于性生活的故事只是被小报媒体煽情化的个案。,-
