Id,Statement,Polarity,Rephrased
1,我们德国人的美德为我们带来了长足的进步，有些人应该被迫对这些美德表现出更多的尊重。,0,
2,言论自由意味着你有权发表演讲和撰写书籍，在书中呼吁推翻政府。,0,
3,如果我们坚持旧传统，按照领导人的要求去做，并摆脱那些破坏一切的麻烦制造者，我们的国家就会很好。,+,L
4,现在的年轻人可以抗议不适合他们的事情，可以随心所欲，这很好。,-,
5,相信政府和教会负责人的判断，总比听信社会上那些吵吵嚷嚷、只想在人们中间制造怀疑的麻烦制造者的话要好。,+,
6,人们应该减少对《圣经》和其他传统宗教教义的关注，转而培养自己对善恶等概念的个人价值观。,-,
7,我们国家真正需要的是法律和秩序，而不是更多的公民权利。,-,L
8,如果我们不铲除啃噬我们道德根基和传统理想的腐败现象，总有一天它会毁掉我们的国家。,+,L
9,在传统的家庭结构中，父亲是一家之主，孩子们被自动培养成顺从的人，我们越早放弃这种家庭结构越好。因为这种陈旧的模式存在很多问题。,-,
10,婚前性行为是很正常的事情。,-,
11,当前的动荡局势、日益猖獗的犯罪和不道德的性行为使得我们必须打击边缘化群体和滋事分子，这样才能维护我们的道德原则，维持法律和秩序。,+,
12,同性恋既不是不道德的，也不是病态的。,-,
13,必须充分尊重激进分子和变态者的权利。,-,
14,服从是孩子们应该学习的最重要的美德。,+,
15,并不只有一种正确的生活方式。每个人都必须找到适合自己的方式。,-,L
16,一旦负责任的政府认识到我们社会中的危险因素，每个爱国公民都有责任从内部抵制对我们社会的毒害。,-,
17,不应允许政府、法官和警察审查书籍。,-,
18,当今我国最恶劣的一些人是那些不尊重我国象征或一般行为准则的人。,+,
19,在当今时代，必须毫不留情地执行法律，尤其是在对付只会制造动乱的叛乱分子和革命者时。,+,
20,无神论者和其他反抗既定宗教的人与那些经常去教堂的人一样善良和正直。,-,
21,年轻人有时会产生叛逆的想法。但随着年龄的增长，他们应该变得更加成熟，避免做出这样的事情。,+,
22,其实，很多被某些人称为罪恶的事情并没有错。,-,L
23,每个人都应该遵循自己的生活方式、宗教信仰和性取向，即使这会让他们与其他人不同。,-,
24,如果孩子开始不按常规行事，不愿意听从权威的话，那么父母就有责任让他们回到正确的轨道上来。,0,
25,事实通常证明，我们的父母或国家领导人等权威人士是对的，而激进分子和抗议者几乎总是错的。,+,
26,我们的许多与审慎和性行为有关的规则只是习俗，并不一定比其他人的习俗更好。,-,
27,裸体海滩很正常。,-,
28,美好生活的真正关键是服从、纪律和直率。,+,
29,我们应该以开放的心态对待那些有不同想法的人，因为新思想会带来进步的变革。,-,
30,我们的国家需要的是强大而坚定的领导力，它能摧毁坏人，让我们回到正确的道路上。,+,L
31,年轻人必须学会批判性地看待父母的理想，质疑权威，批判社会传统。,+,
32,今天，我们的社会中存在着如此多的困难因素，原因之一就是家长和其他权威人士已经忘记，良好的体罚仍然是让人们乖乖听话的最佳方法之一。,+,
33,随着我国局势的日益严峻，我们也有理由使用最强有力的手段来铲除破坏分子，使我们重新走上正轨。,+,
34,我们应该摆脱所谓的良好行为规则，因为这些都是过去的桎梏，我们可以用它们换取更大的自由和新的生活方式。,0,
