Id,Statement
1,一个主要考虑自己幸福的人是值得蔑视的。
2,生活中最重要的是，一个人要想做一些重要的事情。
3,在讨论中，我经常发现有必要重复自己的话好几遍，以确保自己被理解。
4,大多数人只是不知道什么对他们有好处。
5,在这样的时代，如果一个人把自己的幸福放在首位，那她一定很自私。
6,一个人如果不相信某种伟大的事业，他就没有真正活过。
7,我希望有人能告诉我如何解决我的个人问题。
8,在这个世界上存在的所有不同哲学中，可能只有一种是正确的。
9,当一个人为理想或事业献身时，他/她的人生才变得有意义。
10,在我们这个复杂的世界上，唯一能让我们知道发生了什么的方法就是依靠可以信赖的领导或专家。
11,我憎恨一些人，因为他们所代表的东西。
12,要做的事情太多，而时间却很少。
13,与其做一个活着的懦夫，不如做一个死去的英雄。
14,一个团体如果容忍自己的成员之间意见分歧过大，就不可能长久存在。
15,一个人对自己所相信的思想的了解自然要比对自己所反对的思想的了解多得多。
16,虽然我自己都不愿意承认这一点，但我有时会有成为伟人的雄心壮志，比如爱因斯坦、贝多芬或莎士比亚。
17,尽管所有群体的言论自由都是一个值得追求的目标，但遗憾的是，有时限制某些政治团体的自由是必要的。
18,"如果一个人要完成他的人生使命，有时就必须 ""不惜一切代价""。"
19,大多数人就是不把别人放在眼里。
20,"一个热衷于多种事业的人，很可能是那种很 ""怂 ""的人。"
21,与政治对手妥协是危险的，因为这通常会导致我们自己一方的背叛。
22,如果有机会，我想做一些对世界大有裨益的事情。
23,在这种时候，对自己阵营中的某些人或团体提出的观点的警惕性往往比对立阵营中的人或团体提出的观点的警惕性更高。
24,在激烈的讨论中，我通常会专注于自己要说的话，而忘记倾听其他人在说什么。
25,一旦我陷入激烈的讨论，我就停不下来。
26,这个世界上有两种人：站在真理一边的人和反对真理的人。
27,人[一个人]自己是一个无助而悲惨的生物。
28,美国和俄罗斯几乎没有共同之处。
29,在人类历史上，真正伟大的思想家可能屈指可数。
30,政府的最高形式是民主，而民主的最高形式是由最聪明的人管理政府。
31,现在往往充满了不快乐。未来才是最重要的。
32,遗憾的是，很多人在与我讨论重要的社会和道德问题时，并不真正理解发生了什么。
33,从根本上说，我们生活的世界是一个相当孤独的地方。
34,在有机会听取自己尊重的人的意见之前，最好不要对发生的事情作出判断。
35,一个人所犯下的最严重的罪行就是公开攻击与他有相同信仰的人。
36,从长远来看，最好的生活方式就是选择那些品味和信仰与自己相同的朋友和伙伴。
37,现在发表的大多数想法都不值一文。
38,一个人对未来充满恐惧是很正常的。
39,每当有人固执地拒绝承认自己错了，我就会热血沸腾。
40,当涉及到宗教方面的意见分歧时，我们必须小心谨慎，不要向那些与我们信仰不同的人妥协。
