Id,Statement,Inverted,AGR,SUB,CONV
1,"我们国家真正需要的不是更多的 ""公民权利""，而是严格的法律和秩序。",0,1,0,0
2,我们的国家真正需要的是一个坚定有力的总理，他将粉碎邪恶，让我们重新走上正轨。,0,1,0,0
3,没有这样的罪行可以作为判处死刑的理由。,1,1,0,0
4,必须以各种方式保护激进分子和离经叛道者的权利。,1,1,0,0
5,服从和尊重权威是孩子们应该学习的最重要的价值观。,0,0,1,0
6,"顺从、纪律和美德才是 ""美好生活 ""的真正关键。",0,0,1,0
7,"妇女顺从的时代应该成为过去。妇女在社会中的 ""位置 ""应该是她想在哪里就在哪里。",1,0,1,0
8,"现在的年轻人有更大的自由 ""制定自己的规则""，并对他们不喜欢的事情提出抗议，这是一件好事。",1,0,1,0
9,脱离传统终有一天会成为致命的错误。,0,0,0,1
10,从长远来看，崇德守法比永远挑战我们社会的根基对我们更有利。,0,0,0,1
11,人们应该制定自己的善恶标准，减少对《圣经》和其他古老、传统形式的宗教指导的关注。,1,0,0,1
12,同性恋长期关系应与婚姻关系同等对待。,1,0,0,1
