Id,Statement,Polarity,Rephrased
1,"Unsere deutschen Tugenden haben uns weit gebracht und manche Leute sollten gezwungen werden, dafür mehr Respekt zu zeigen.",0,
2,"Redefreiheit heißt, dass man das Recht hat, Reden zu halten und Bücher zu schreiben, in denen man selbst den Sturz der Regierung fordern könnte.",0,
3,"Unser Land wäre in Ordnung, wenn wir uns an die alten Traditionen hielten, das täten, was uns die führenden Köpfe sagen und die Störenfriede loswürden, die alles verderben.",+,L
4,"Es ist großartig, dass junge Leute heutzutage gegen Dinge, die ihnen nicht passen, protestieren können, und dass sie sich so verhalten können, wie sie mögen.",-,
5,"Man tut immer besser daran, auf das Urteil der Zuständigen in der Regierung und Kirche zu vertrauen, als auf die lauten Unruhestifter in unserer Gesellschaft zu hören, die unter den Leuten nur Zweifel erzeugen wollen.",+,
6,"Die Menschen sollten der Bibel und anderen traditionellen religiösen Lehren weniger Beachtung schenken und sollten stattdessen eigene, persönliche Wertvorstellungen über Begriffe wie Gut und Böse entwickeln.",-,
7,"Was wir in unserem Land wirklich brauchen, ist eine anständige Portion Recht und Ordnung anstatt mehr Bürgerrechte.",-,L
8,"Wenn wir die Verderbtheit, die an unseren moralischen Wurzeln und unseren überlieferten Idealen nagt, nicht ausrotten, wird sie eines Tages unser Land zerstören.",+,L
9,"Je eher wir die traditionelle Familienstruktur aufgeben, in der der Vater das Familienoberhaupt ist und die Kinder automatisch zum Gehorsam erzogen werden, desto besser. Denn an diesem altmodischen Modell ist viel verkehrt.",-,
10,"Vorehelicher Geschlechtsverkehr ist etwas ganz Normales.",-,
11,"Die derzeitigen Unruhen, die wachsende Kriminalität und die sexuelle Unmoral lassen es unumgänglich erscheinen, gegenüber Randgruppen und Unruhestiftern härter durchzugreifen, wenn wir unsere moralischen Prinzipien wahren und Recht und Ordnung erhalten wollen.",+,
12,"Homosexualität ist weder unmoralisch noch krankhaft.",-,
13,"Die Rechte der Radikalen und Perversen müssen voll gewahrt werden.",-,
14,"Gehorsam ist die wichtigste Tugend, die Kinder lernen sollten.",+,
15,"Es gibt nicht nur einen richtigen Weg, sein Leben zu leben. Jeder muss seinen eigenen, für ihn richtigen Weg finden.",-,L
16,"Wenn die gefährlichen Elemente in unserer Gesellschaft von den zuständigen Regierungen erst einmal erkannt werden, ist es die Pflicht eines jeden patriotischen Bürgers, der Vergiftung unserer Gesellschaft von innen entgegenzuwirken.",-,
17,"Der Regierung, den Richtern und der Polizei sollte die Zensur von Büchern grundsätzlich nicht gestattet werden.",-,
18,"Zu den schlimmsten Menschen in unserem Land gehören heutzutage diejenigen, die weder die Symbole unseres Landes noch unsere allgemeinen Verhaltensregeln achten.",+,
19,"In den heutigen Zeiten müssen die Gesetze gnadenlos angewandt werden, besonders im Umgang mit Aufrührern und Revolutionären, die nur Unruhe stiften.",+,
20,"Atheisten und andere, die sich gegen die etablierten Religionen aufgelehnt haben, sind genauso gut und rechtschaffen wie die, die regelmäßig zur Kirche gehen.",-,
21,"Junge Menschen entwickeln manchmal rebellische Ideen. Mit zunehmendem Alter sollten sie aber reifer werden und von solchen Dingen Abstand nehmen.",+,
22,"Gegen viele Dinge, die von manchen Leuten als Sünde bezeichnet werden, ist eigentlich nichts einzuwenden.",-,L
23,"Jeder sollte seinem Lebensstil, religiösen Glauben und sexueller Richtung Folge leisten, auch wenn er sich dann von allen anderen unterscheidet.",-,
24,"Wenn ein Kind anfängt, sich unkonventionell zu verhalten und auf die Autorität nicht hören will, dann ist es die Pflicht der Eltern, es wieder auf den richtigen Weg zu bringen.",0,
25,"Gewöhnlich stellt es sich heraus, dass Autoritäten wie unsere Eltern oder nationale Führungskräfte rechtbehalten und die Radikalen und Protestierenden  fast immer Unrecht haben.",+,
26,"Viele unserer Regeln, die mit Prüderie und Sexualverhalten zu tun haben, sind nur Gepflogenheiten und nicht unbedingt besser als die anderer Menschen.",-,
27,"FKK-Strände sind ganz normal.",-,
28,"Die wirklichen Schlüssel zum guten Leben sind Gehorsam, Disziplin und Geradlinigkeit.",+,
29,"Wir sollten mit Andersdenkenden mit Offenheit umgehen, da neue Gedanken zu progressiven Veränderungen führen.",-,
30,"Was unser Land braucht, ist eine starke und entschlossene Führung, die das Schlechte vernichtet und uns auf den richtigen Weg zurückführt.",+,L
31,"Jugendliche müssen lernen, sich mit den Idealen der Eltern kritisch auseinanderzusetzen, Autoritäten in Frage zu stellen und die Traditionen unserer Gesellschaft zu kritisieren.",+,
32,"Ein Grund, dass wir heute so viele schwierige Elemente in unserer Gesellschaft haben, ist, dass Eltern und andere Autoritäten vergessen haben, dass die gute alte Körperstrafe noch immer eine der besten Methoden ist, Menschen zum richtigen Verhalten zu bringen.",+,
33,"Da die Situation in unserem Land immer ernster wird, wäre auch der Einsatz der stärksten Mittel vertretbar, um störende Elemente loszuwerden und uns wieder auf die richtige Bahn zu bringen.",+,
34,"Wir sollten uns der Vorschriften für sogenanntes gutes Benehmen entledigen, denn das sind Fesseln der Vergangenheit, die wir gegen größere Freiheit und neue Lebensstile eintauschen können.",0,
