Id,Statement,Inverted,SDO-D,SDO-E
1,"Some groups of people must be kept in their place.",0,1,0
2,"It's probably a good thing that certain groups are at the top and other groups are at the bottom.",0,1,0
3,"An ideal society requires some groups to be on top and others to be on the bottom.",0,1,0
4,"Some groups of people are simply inferior to other groups.",0,1,0
5,"Groups at the bottom are just as deserving as groups at the top.",1,1,0
6,"No one group should dominate in society.",1,1,0
7,"Groups at the bottom should not have to stay in their place.",1,1,0
8,"Group dominance is a poor principle.",1,1,0
9,"We should not push for group equality.",0,0,1
10,"We shouldn't try to guarantee that every group has the same quality of life.",0,0,1
11,"It is unjust to try to make groups equal.",0,0,1
12,"Group equality should not be our primary goal.",0,0,1
13,"We should work to give all groups an equal chance to succeed.",1,0,1
14,"We should do what we can to equalize conditions for different groups.",1,0,1
15,"No matter how much effort it takes, we ought to strive to ensure that all groups have the same chance in life.",1,0,1
16,"Group equality should be our ideal.",1,0,1
