Id,Statement,Polarity,RIG,DOG
1,我认为，最好还是按常规方法行事。,+,1,0
2,我总是穿得很讲究。,+,1,0
3,当不速之客出现时，我觉得非常恼火，因为他们没有事先通知我。,+,1,0
4,我一旦形成观点，就会坚持到底。,+,1,0
5,当我离开公寓时，我会定期检查是否关了炉子或电灯。,+,1,0
6,我不愿意改变，因为我对事物很有感情。,+,1,0
7,我所做的一切都按计划进行。,+,1,0
8,你应该时不时地放弃自己的习惯，做一些全新的事情。,-,1,0
9,穿衣服时，我总是按照完全相同的顺序穿衣服。,+,1,0
10,我认为，我的做事方式通常是最好的，即使一开始看起来并非如此。,+,1,0
11,新的、不寻常的情况会让我感到不舒服。,+,1,0
12,我不在乎我的公寓是否整洁。,-,1,0
13,每隔一段时间，我都会做一些危险的事情，只是为了好玩。,-,1,0
14,"我喜欢按照这句话行事""安全总比遗憾好""。",+,1,0
15,当我开始做一件事时，我会坚持到底。,+,1,0
16,遗憾的是，我有时不守时。,-,1,0
17,我对未来的愿望是尽可能过上平静的生活。,+,1,0
18,你对一个人的第一印象几乎总是正确的。,+,0,1
19,一个人只有投身于伟大的事业，才真正具有重要意义。,+,0,1
20,人就是这样，你很难改变他们。,+,0,1
21,对孩子来说，学会独立和批评父母比服从父母更重要。,+,0,1
22,每个人都有责任为自己出生的社区挺身而出。,-,0,1
23,即使政治团体的目标众所周知是危险的，也应给予其言论自由。,+,0,1
24,对许多事情充满热情的人和其他人一样值得信赖。,-,0,1
25,在讨论过程中，往往需要多次重复自己的发言，以确保自己被理解。,-,0,1
26,如今，有很多疯狂的想法到处流传。对于其中的大多数，你只能摇摇头，不相信有人会相信这样的事情。,+,0,1
27,女性的思维自然不如男性清晰，因为她们更多的是凭感觉生活。,+,0,1
28,在当今纷繁复杂的世界里，只有依靠领军人物和专家才能弄清发生了什么。,+,0,1
29,允许孩子与父母意见相左是可以的。不过，尊重父母仍然是必要的。,+,0,1
30,在做出重要的个人决定时，应该听取年长、经验丰富的人的建议。,+,0,1
31,改变自己的观点总比固守曾经被接受的观点要好。,+,0,1
32,对未来感到恐惧是很正常的。,+,0,1
33,有些人必须被憎恨，因为他们所坚持的东西。,+,0,1
34,如果有人固执地拒绝承认自己错了，你也会生气。,-,0,1
35,儿童在家庭决策中应有发言权。,+,0,1
36,妇女应该像关心自己的家庭一样关心政治和社会问题。,-,0,1
37,人类自生自灭，无助而可怜。,+,0,1
38,一个人对自己认为正确的思想比对自己反对的思想更熟悉，这是很自然的。,+,0,1
39,空谈和讨论太多，行动太少。,+,0,1
40,即使在今天，女性的权利仍然少于男性。这种情况必须改变。,+,0,1
41,对父母不爱、不敬的人，真的只能被人鄙视。,+,0,1
