Id,Statement,Short,Inverted,AUTH,CONS,TRAD
1,"Eine starke, harte Regierung schadet unserem Land, statt ihm zu helfen.",1,1,1,0,0
2,"Wenn man zu Faulenzern oder Kriminellen freundlich ist, ermutigt man sie nur, die eigene Schwäche auszunutzen. Deshalb ist es am besten, ihnen mit fester, harter Hand zu begegnen.",1,0,1,0,0
3,"Unsere Gesellschaft braucht KEINE härtere Regierung und strengere Gesetze.",1,1,1,0,0
4,"Die Fakten zu Kriminalität und den jüngsten öffentlichen Unruhen zeigen, dass wir härter gegen Unruhestifter vorgehen müssen, wenn wir Recht und Ordnung aufrechterhalten wollen.",1,0,1,0,0
5,"Unsere Gefängnisse sind eine schockierende Schande. Kriminelle sind unglückliche Menschen, die viel bessere Betreuung verdienen, statt so viel Bestrafung.",1,1,1,0,0
6,"So wie die Dinge in diesem Land laufen, wird es einer Menge ""starker Medizin"" bedürfen, um die Unruhestifter, Kriminellen und Perversen in die Schranken zu weisen.",1,0,1,0,0
7,"Wir sollten alle negativen Elemente, die in unserer Gesellschaft Probleme verursachen, zerschlagen.",0,0,1,0,0
8,"Die Lage in unserem Land wird immer ernster, sodass die strengsten Methoden gerechtfertigt wären, wenn sie die Unruhestifter beseitigen und uns wieder auf den richtigen Weg bringen würden.",0,0,1,0,0
9,"Diejenigen, die sagen, dass unsere Gesetze strenger und härter durchgesetzt werden sollten, liegen falsch. Wir brauchen mehr Toleranz und eine mildere Behandlung von Gesetzesbrechern.",0,1,1,0,0
10,"Die Gerichte tun recht daran, Drogendelikte milde zu bestrafen. Eine Bestrafung würde in solchen Fällen nichts bringen.",0,1,1,0,0
11,"Was unser Land wirklich braucht, ist eine harte, strenge Dosis Recht und Ordnung.",0,0,1,0,0
12,"Die Todesstrafe ist barbarisch und niemals gerechtfertigt.",0,1,1,0,0
13,"Es ist großartig, dass viele junge Menschen heute bereit sind, sich der Autorität zu widersetzen.",1,1,0,1,0
14,"Was unser Land am meisten braucht, ist Disziplin, damit alle unseren Führern in Einigkeit folgen.",1,0,0,1,0
15,"Schüler an Gymnasien und Universitäten müssen dazu ermutigt werden, etablierte Autoritäten herauszufordern, zu kritisieren und ihnen entgegenzutreten.",1,1,0,1,0
16,"Gehorsam und Respekt vor Autoritäten sind die wichtigsten Tugenden, die Kinder lernen sollten.",1,0,0,1,0
17,"Unser Land wird großartig sein, wenn wir Autoritäten respektieren und unseren Führern gehorchen.",1,0,0,1,0
18,"Die Menschen sollten bereit sein, gegen Gesetze, mit denen sie nicht einverstanden sind, zu protestieren und sie in Frage zu stellen.",1,1,0,1,0
19,"Die Menschen sollten Reden halten und Bücher schreiben dürfen, in denen sie zum Sturz der Regierung aufrufen.",0,1,0,1,0
20,"Je mehr Menschen bereit sind, die Behörden zu kritisieren, die Regierung herauszufordern und gegen sie zu protestieren, desto besser ist es für die Gesellschaft.",0,1,0,1,0
21,"Die Menschen sollten aufhören, Kindern beizubringen, Autoritäten zu gehorchen.",0,1,0,1,0
22,"Der wahre Schlüssel zu einem ""guten Leben"" liegt in der Achtung vor Autoritäten und im Gehorsam gegenüber den Verantwortlichen.",0,0,0,1,0
23,"Den Behörden sollte man gehorchen, weil sie am besten wissen, was für unser Land gut ist.",0,0,0,1,0
24,"Unseren Führern sollte man ohne Frage gehorchen.",0,0,0,1,0
25,"Niemand sollte sich an das ""geradlinige und enge"" Leben halten. Stattdessen sollten die Menschen sich davon lösen und viele verschiedene Ideen und Erfahrungen ausprobieren.",1,1,0,0,1
26,"Die ""altmodischen Methoden"" und ""altmodischen Werte"" zeigen immer noch den besten Weg, wie man leben sollte.",1,0,0,0,1
27,"Gottes Gesetze zu Abtreibung, Pornografie und Ehe müssen strikt befolgt werden, bevor es zu spät ist.",1,0,0,0,1
28,"An FKK-Camps ist absolut nichts auszusetzen.",1,1,0,0,1
29,"Dieses Land wird florieren, wenn junge Menschen aufhören, mit Drogen, Alkohol und Sex zu experimentieren, und sich mehr auf Familienwerte konzentrieren.",1,0,0,0,1
30,"Es ist nichts Falsches an vorehelichem Geschlechtsverkehr.",1,1,0,0,1
31,"Traditionelle Werte, Bräuche und Moralvorstellungen haben viel Falsches an sich.",0,1,0,0,1
32,"Jeder sollte seinen eigenen Lebensstil, seine eigenen religiösen Überzeugungen und sexuellen Vorlieben haben, auch wenn er sich dadurch von allen anderen unterscheidet.",0,1,0,0,1
33,"Die radikalen und sündhaften neuen Lebensweisen und Verhaltensweisen vieler junger Menschen könnten eines Tages unsere Gesellschaft zerstören.",0,0,0,0,1
34,"Trashige Zeitschriften und radikale Literatur in unseren Gemeinden vergiften die Köpfe unserer jungen Menschen.",0,0,0,0,1
35,"Es ist wichtig, dass wir unsere traditionellen Werte und moralischen Standards bewahren.",0,0,0,0,1
36,"Die Menschen sollten weniger auf die Bibel und andere altmodische Formen religiöser Führung achten und stattdessen ihre eigenen persönlichen Maßstäbe dafür entwickeln, was moralisch und unmoralisch ist.",0,1,0,0,1
