Id,Statement,Inverted
1,"Безопасность и защищенность людей в нашем обществе и сообществах для меня НЕ являются важными проблемами.",1
2,"Важно пытаться уменьшить хаос и беспорядки во многих наших сообществах.",0
3,"Нашему обществу нужно больше порядка, стабильности и безопасности.",0
4,"Нашему обществу и сообществам НЕ нужно становиться менее опасными и рискованными для людей.",1
5,"Нашему обществу нужно стать более безопасным для обычных людей.",0
6,"Нам нужно больше контроля над тем, что происходит в нашем обществе.",0
7,"Порядок, стабильность и безопасность в моей стране НЕ являются для меня важными вопросами.",1
8,"Сделать наше общество более защищенным и менее опасным для меня не особенно важно.",1
9,"Совершенно неверно, что необходимо уменьшать хаос и беспорядок во многих наших общинах.",1
10,"Мы должны постараться не допустить, чтобы наше общество скатилось в анархию и беспорядок.",0
11,"Нам нужно больше порядка, стабильности и предсказуемости в нашем обществе и наших сообществах.",0
12,"НЕТ необходимости делать наше общество более упорядоченным, законопослушным и стабильным.",1
